No Polling St.,,,,,,,,,,,,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
,Chuhan Kesavbhai Malabhai (Master),C. R. Patil,Maksu d Mirza,Asla m Mistr y,Patel Bhupen drakum ar Dhirubh ai,Pyarel al Bharti,Mehul Patel,Warde Rajub hai Bhimr ao,Sonal Kellog g,Arun S. Pathak (Journal ist),Kesha vji L. Sarad va,Percy Munshi,Ramjan Mansuri (Journali st),Ravsha heb Bhimra v Patil (Bandh,Rohit Gandhi,Lataben Ashokku mar Dwivedi,Vimal Patel (Endh al),Saiyed Mehmu d Ahmed,Hasan Shaikh,,,,,
211,1,755,64,0,0,1,19,2,0,0,0,0,1,0,0,3,0,0,0,846,0,7,853,0
212,4,597,59,2,0,1,6,6,0,0,1,1,1,3,0,3,0,3,0,687,0,2,689,0
213,7,566,119,0,2,0,14,8,1,1,0,2,0,1,1,9,0,0,1,732,0,4,736,0
214,4,558,106,1,1,0,5,5,0,0,1,1,2,1,1,4,4,3,0,697,0,4,701,0
215,23,366,273,5,0,2,12,1,2,1,0,3,1,1,1,5,0,2,6,704,0,3,707,0
216,9,179,680,8,2,0,5,1,3,1,1,4,4,1,0,7,1,1,0,907,0,0,907,0
217,9,326,409,4,1,0,12,0,1,1,0,1,3,4,3,7,2,1,1,785,0,4,789,0
218,2,117,429,4,0,0,13,0,0,3,0,0,1,0,1,2,0,0,1,573,0,0,573,0
219,10,159,353,4,1,0,5,0,0,0,0,2,1,3,2,3,1,0,0,544,0,2,546,0
220,3,144,644,1,1,1,10,2,1,1,0,0,3,0,1,7,1,3,3,826,0,3,829,0
221,1,160,435,1,0,0,4,0,0,0,0,0,0,1,1,4,0,3,5,615,0,1,616,0
222,11,558,318,6,2,2,4,1,0,0,0,3,4,2,3,2,0,3,0,919,0,1,920,0
223,3,78,280,4,1,0,8,0,1,1,0,0,0,0,1,0,1,1,1,380,0,2,382,0
223,4,57,481,2,0,0,12,0,1,0,0,1,0,2,1,4,4,1,2,572,0,5,577,0
