Serial No of polling station,NO. OF VALID VOTES CAST IN FAVOUR OF,,,,,,,,,,,,,,,,,,,,,
,Koli Patel Somabhai Gandalal,Parmar Minaxiben Vijaybhai,Fatepara Devjibhai Govindbhai,Jethabhai Manjibhai Patel,Bar Ajmalbhai Karmanbhai,Majethiya Samaratbhai Jerambhai,Chavda Palabhai Nanjibhai,Parmar Prabhubhai Gokalbhai,Parmar Vashrambhai Bavalbhai,Makwana Ukabhai Amrabhai,Makwana Vasharambhai Karshanbhai,Mansinh Shivubha Zala,Vadaliya Kalubhai Malubhai,Vaghela Prakashbhai Bachubhai,Vora Bhavanbhai Devjibhai,Sapara Vipulbhai Rameshbhai,Sankaliya Gangarambhai Tapubhai,Total of Valid votes,No. of rejected Votes,Nota,Total,No. of tender ed votes
104,125,4,225,5,1,1,1,0,1,0,0,0,1,5,3,1,3,376,0,5,381,
105,86,0,73,17,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,2,178,
106,130,5,251,9,1,0,1,0,2,1,0,1,1,1,4,5,1,413,0,3,416,
107,224,13,532,8,6,2,0,6,1,4,1,0,2,6,1,7,5,818,0,8,826,
108,153,3,292,7,0,2,0,1,0,0,3,0,0,1,4,2,3,471,0,3,474,
109,11,2,149,1,0,0,0,1,1,0,1,1,0,2,0,4,2,175,0,3,178,
110,200,12,281,3,1,1,2,1,3,2,1,3,3,0,4,11,7,535,0,5,540,
111,76,10,396,9,0,0,1,14,0,0,2,3,0,3,0,6,8,528,0,2,530,
112,199,5,292,3,2,1,0,1,2,2,3,2,3,4,1,14,2,536,0,7,543,
113,185,9,464,4,3,0,0,1,3,1,0,0,2,7,5,16,5,705,0,8,713,
114,150,14,374,5,2,0,4,8,2,2,2,5,6,10,2,14,12,612,0,10,622,
115,254,4,252,5,3,0,1,7,3,4,8,3,5,8,8,32,10,607,0,8,615,
116,259,6,334,6,0,4,3,2,2,2,3,4,4,3,4,4,5,645,0,2,647,
117,280,12,323,4,3,3,1,2,1,3,1,0,3,3,3,7,5,654,0,4,658,
118,210,8,390,6,2,1,0,1,0,1,0,0,5,17,7,19,7,674,0,5,679,
119,300,7,419,9,2,1,2,1,2,1,1,4,4,8,4,21,19,805,0,9,814,
120,66,2,431,4,2,0,0,1,0,1,0,0,1,6,2,2,3,521,0,8,529,
121,124,6,287,8,1,1,1,0,0,1,1,1,1,2,2,2,3,441,0,4,445,
122,179,2,393,13,0,0,0,0,1,1,0,1,1,1,2,4,2,600,0,0,600,
123,466,36,57,1,2,0,0,9,2,0,0,0,1,2,3,8,12,599,0,6,605,
124,113,11,295,6,0,2,1,3,0,2,0,3,6,6,2,3,16,469,0,25,494,
125,258,37,169,5,1,1,1,10,3,3,3,1,0,1,4,7,5,509,0,8,517,
126,175,7,306,5,0,0,0,4,0,1,0,2,1,4,0,7,2,514,0,4,518,
127,206,8,289,9,0,1,1,0,4,0,0,3,1,5,5,17,32,581,0,20,601,
128,98,6,180,2,0,1,1,1,0,0,0,0,2,1,3,10,1,306,0,7,313,
129,227,11,341,21,1,2,1,2,0,0,0,1,4,13,2,11,1,638,0,8,646,
130,43,2,393,6,0,0,0,0,0,0,0,0,0,1,1,3,1,450,0,2,452,
131,80,3,159,6,1,0,0,1,0,0,0,0,2,0,1,1,4,258,0,2,260,
132,165,7,301,13,3,1,1,2,0,1,0,1,2,9,3,3,9,521,0,2,523,
133,202,5,344,13,2,0,0,7,2,0,0,2,1,7,2,7,8,602,0,13,615,
134,39,2,423,18,0,0,0,0,0,0,0,0,0,8,0,1,3,494,0,4,498,
135,238,5,130,6,0,0,1,0,2,0,1,1,0,5,1,6,5,401,0,1,402,
136,89,3,348,9,2,0,0,0,0,0,0,0,0,2,3,2,5,463,0,6,469,
137,256,5,209,5,2,2,1,0,2,2,0,2,1,2,2,8,6,505,0,2,507,
138,283,2,210,2,0,0,0,0,0,0,0,2,0,1,1,14,6,521,0,2,523,
139,227,11,251,8,0,0,0,4,2,0,1,0,0,1,4,8,16,533,0,4,537,
140,28,1,233,7,1,0,0,2,1,0,0,0,0,1,0,2,1,277,0,1,278,
141,117,8,152,6,1,0,1,2,1,0,0,1,0,0,4,0,0,293,0,3,296,
142,57,5,219,18,1,0,0,3,0,0,0,1,0,1,1,3,2,311,0,2,313,
143,97,5,429,11,1,0,3,2,0,4,4,4,7,9,5,13,5,599,0,10,609,
144,85,8,289,4,4,0,2,1,4,2,2,2,7,9,3,10,5,437,0,6,443,
145,427,8,298,6,1,4,0,14,1,2,1,1,2,8,4,15,9,801,0,2,803,
146,161,2,206,4,1,2,0,0,1,2,0,1,1,4,1,6,7,399,0,4,403,
147,156,3,199,5,2,2,0,0,1,1,0,1,1,4,0,4,4,383,0,2,385,
148,335,3,62,15,0,0,1,0,0,1,0,0,2,4,2,17,13,455,0,7,462,
149,210,7,16,2,0,0,0,0,0,1,0,0,2,0,1,8,20,267,0,0,267,
150,53,6,387,15,1,2,0,0,1,0,1,1,2,0,2,4,3,478,0,5,483,
