Sl. No.of Polling Station,,,,,,,,,,,,,,,,,,,"""None of the Above"" (NOTA)",valid,No of Rejected Votes,Total,No. of Test Votes (VVPAT),No. Tendered Votes
270,741,69,0,0,0,0,0,7,1,0,0,0,0,0,0,2,6,2,10,838,0,838,0,0
271,713,99,1,0,0,0,1,10,0,0,0,0,0,1,0,0,4,1,10,840,0,840,0,0
272,745,57,0,1,0,0,0,15,0,0,0,0,0,0,0,4,0,0,12,834,0,834,0,0
273,730,62,0,1,0,0,0,9,0,0,0,0,0,0,0,3,4,0,7,816,0,816,0,0
274,549,77,0,0,0,0,0,18,0,0,0,0,0,1,0,3,1,0,5,654,0,654,0,0
275,655,57,1,0,1,1,0,22,0,0,1,0,0,2,1,1,2,0,7,751,0,751,0,0
276,670,76,2,0,0,0,0,16,0,0,0,0,0,0,0,1,4,0,18,787,0,787,0,0
277,703,197,0,2,1,0,0,21,0,1,0,0,0,0,1,5,1,1,16,949,0,949,0,0
278,639,107,3,0,1,0,0,3,1,0,0,0,0,1,0,2,2,0,14,773,0,773,0,0
279,452,169,1,0,0,0,0,14,0,0,0,0,0,0,0,1,1,1,12,651,0,651,0,0
280,712,69,1,0,0,0,0,14,0,0,0,0,0,1,0,1,1,1,12,812,0,812,0,0
281,527,48,0,0,0,1,0,9,0,0,0,0,0,0,0,0,3,0,17,605,0,605,0,0
282,792,84,0,0,0,0,0,6,0,2,0,1,0,0,0,2,8,0,13,908,0,908,0,0
283,748,74,1,0,0,0,0,38,0,0,2,0,0,0,0,2,1,0,21,887,0,887,0,0
284,596,58,1,0,0,0,0,14,0,0,0,1,0,0,0,1,2,0,8,681,0,681,0,0
285,736,38,0,1,0,0,0,19,0,0,0,0,0,0,1,1,0,0,14,810,0,810,0,0
286,707,85,1,1,0,0,0,18,0,0,0,0,0,0,0,1,1,0,15,829,0,829,0,0
287,598,47,0,0,0,0,0,11,0,0,0,0,0,1,0,2,2,0,8,669,0,669,0,0
288,653,37,1,0,1,0,0,20,0,0,0,1,0,0,0,4,6,1,10,734,0,734,0,0
289,676,54,0,0,0,0,0,8,0,0,0,0,0,0,1,2,3,1,10,755,0,755,0,0
290,704,84,1,1,0,2,0,17,0,1,0,0,0,0,0,1,2,0,8,821,0,821,0,0
291,559,95,2,0,0,0,0,8,0,0,0,0,0,0,0,4,3,2,15,688,0,688,0,0
292,358,36,1,1,0,1,0,9,0,0,1,0,0,0,0,0,2,0,6,415,0,415,0,0
293,715,73,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,10,816,0,816,0,0
294,610,56,0,0,0,0,0,15,0,0,0,1,0,0,0,0,2,0,10,694,0,694,0,0
295,471,56,0,0,0,0,0,13,0,0,0,0,0,0,0,0,6,1,11,558,0,558,0,0
296,412,52,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0,0,4,480,0,480,0,0
297,460,43,0,0,0,0,0,20,0,0,0,0,0,0,0,3,4,0,14,544,0,544,0,0
298,664,72,2,0,0,0,0,17,0,0,0,1,0,0,0,3,1,0,27,787,0,787,0,0
299,443,49,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,19,525,0,525,0,0
300,707,113,1,1,1,0,0,17,0,1,0,0,0,1,1,3,7,1,12,866,0,866,0,0
301,577,68,0,0,0,1,0,19,0,0,0,0,0,0,0,0,2,0,13,680,0,680,0,0
302,572,67,0,0,0,0,0,20,0,0,1,0,0,0,0,2,0,0,16,678,0,678,0,0
303,641,69,2,0,0,0,0,26,0,0,0,0,0,0,0,1,2,0,11,752,0,752,0,0
304,649,108,2,1,1,0,0,22,0,0,1,0,0,4,1,4,0,0,8,801,0,801,0,0
305,787,61,1,1,0,0,1,19,1,0,0,0,0,0,0,2,1,0,17,891,0,891,0,0
306,447,224,8,0,1,0,0,19,0,0,1,1,1,3,0,7,10,3,5,730,0,730,0,0
307,588,118,1,1,2,1,1,32,1,2,1,1,1,1,4,3,2,1,16,777,0,777,0,0
308,474,99,1,0,1,0,0,11,0,1,0,0,0,1,1,2,0,0,10,601,0,601,0,0
309,653,82,0,0,0,0,0,25,0,0,1,0,1,0,0,4,1,0,11,778,0,778,0,0
310,482,162,1,0,0,0,0,22,0,0,0,0,0,1,2,4,0,1,8,683,0,683,0,0
311,454,120,0,1,0,0,3,5,0,0,0,0,0,1,1,3,3,2,2,595,0,595,0,0
312,511,90,3,1,0,0,2,7,0,0,0,0,0,1,0,1,6,2,3,627,0,627,0,0
313,785,92,2,1,1,1,1,28,0,0,1,0,0,0,0,1,1,0,25,939,0,939,0,0
314,500,59,1,1,0,0,0,18,1,0,0,0,0,0,0,0,0,0,8,588,0,588,0,0
315,576,45,0,0,1,1,0,25,0,0,0,0,0,1,1,1,2,0,5,658,0,658,0,0
316,662,77,0,0,0,1,0,16,0,0,0,1,0,0,0,1,1,0,13,772,0,772,0,0
317,337,18,0,0,0,0,0,10,1,0,0,0,0,0,1,0,0,0,9,376,0,376,0,0
318,641,70,0,0,0,0,0,20,0,0,0,0,0,11,1,3,0,1,7,754,0,754,0,0
