Serial No of polling station,,,,,,,,,,,,,,,,,,,,,,
,Koli Patel Somabhai Gandalal,Parmar Minaxiben Vijaybhai,Fatepara Devjibhai Govindbhai,Jethabhai Manjibhai Patel,Bar Ajmalbhai Karmanbhai,Majethiya Samaratbhai Jerambhai,Chavda Palabhai Nanajibhai,Parmar Prabhubhai Gokalbha,Parmar Vasharambhai Bavalbhai,Makvana Ukabhai Amrabhai,Makvana Vasharambhai Karshanbhai,Mansinh Shivubha Zala,Vadaliya Kalubhai Malubhai,Vaghela Prakashbhai Bachubhai,Vora Bhavanbhai Devajibhai,Sapara Vipulbhai Rameshbhai,Sankaliya Gangarambhai Tapubhai,valid,No. of rejected Votes (test votes),"Votes for ""NOTA"" option",Total,No. of tendered votes
114,122,5,226,6,0,1,2,0,1,2,0,1,2,8,0,5,2,383,0,3,386,0
115,100,7,196,21,2,0,0,6,0,1,0,1,0,0,0,2,6,342,0,9,351,0
116,164,6,200,14,0,0,0,4,0,0,1,0,1,4,5,3,4,406,0,5,411,0
117,102,5,235,6,2,1,0,1,0,0,2,0,1,1,0,8,5,369,0,5,374,0
118,61,2,248,3,0,0,0,0,0,0,0,1,2,1,2,6,3,329,0,5,334,0
119,106,8,376,23,1,0,0,2,0,0,0,2,0,1,1,3,9,532,0,2,534,0
120,167,9,342,5,1,1,0,1,0,1,0,2,1,0,0,8,5,543,0,7,550,0
121,142,9,233,23,0,0,0,1,0,0,0,1,0,0,3,3,3,418,0,4,422,0
122,125,7,349,41,1,0,0,1,3,2,0,1,2,2,0,6,4,544,0,5,549,0
123,257,9,343,9,0,2,3,4,1,3,1,2,3,12,7,5,12,673,0,4,677,0
124,37,5,296,2,1,0,1,0,0,0,0,0,5,7,1,9,2,366,0,2,368,0
125,107,6,250,5,0,0,1,2,0,0,0,0,3,3,0,7,5,389,0,2,391,0
126,211,15,279,27,1,0,0,19,0,0,3,3,0,4,4,9,6,581,0,6,587,0
127,133,9,356,41,2,0,0,0,2,0,1,0,3,4,3,2,5,561,0,5,566,0
128,287,2,206,6,0,4,2,23,1,1,0,0,4,2,0,9,9,556,0,2,558,0
129,78,3,334,3,0,1,0,1,2,0,0,2,1,1,1,8,3,438,0,0,438,0
130,293,16,103,4,5,3,1,1,2,2,1,0,5,2,7,17,10,472,0,13,485,0
131,265,13,138,3,2,0,0,0,3,1,1,2,5,6,11,13,22,485,0,21,506,0
132,443,9,249,2,1,0,3,1,1,1,1,2,5,1,5,17,10,751,0,5,756,0
133,91,4,216,4,2,0,2,0,1,0,0,2,0,3,1,3,4,333,0,4,337,0
134,215,43,325,10,0,1,2,1,2,0,0,0,6,7,4,12,14,642,0,2,644,0
135,229,11,284,6,0,2,1,2,0,1,1,0,2,2,3,13,11,568,0,9,577,0
136,156,13,301,6,2,0,0,1,3,3,0,0,1,0,1,6,7,500,0,2,502,0
137,214,19,302,3,6,4,0,3,1,1,1,0,3,9,4,13,9,592,0,1,593,0
138,173,18,430,8,5,1,5,3,3,2,0,5,9,30,9,23,4,728,0,13,741,0
139,147,13,241,6,2,1,2,4,2,2,3,6,5,3,9,9,6,461,0,9,470,0
140,41,3,270,5,2,1,0,2,1,0,2,1,1,0,2,6,1,338,0,0,338,0
141,22,5,299,2,1,0,1,1,0,0,0,2,2,0,1,5,2,343,0,5,348,0
142,100,6,346,14,0,0,0,2,1,1,2,1,0,2,2,10,3,490,0,6,496,0
143,50,5,377,14,0,1,0,2,0,0,0,0,1,2,3,1,2,458,0,2,460,0
