No Polling St.,No. of valid votes cast in favour of,,,,,,,,,,,,,,,,,,,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
,Chuhan Kesavbhai Malabhai (Master),C.R.Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakuma r Dhirubhai,Pyarelal Bharti,Mehul Patel,Warde Rajubhai Bhimrao,Sonal Kellogg,Arun S. Pathak (Journalist),Keshavji L. Saradva,Percy Munshi,Ramjan Mansuri (Journalist),Ravshaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwivedi,Vimal Patel (Endhal),Saiyed Mehmud Ahmed,Hasan Shaikh,,,,,
69,2,438,50,2,0,1,6,0,0,0,0,0,0,0,0,1,0,1,0,501,0,3,504,0
70,5,832,58,2,1,3,10,0,2,1,0,4,1,0,0,3,0,2,0,924,0,3,927,0
71,3,470,241,2,1,0,12,0,1,0,0,0,0,2,3,0,0,6,3,744,0,5,749,0
72,0,171,76,1,0,0,3,0,0,1,0,0,0,0,0,1,0,0,1,254,0,1,255,0
73,1,175,236,0,0,0,16,0,0,1,0,1,0,1,0,0,0,1,0,432,0,1,433,0
74,6,368,299,5,0,0,7,0,1,1,2,1,1,4,2,3,0,1,2,703,0,2,705,0
75,6,272,203,2,1,1,9,2,0,1,2,0,1,2,3,5,2,5,1,518,0,4,522,0
76,1,493,22,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,527,0,0,527,0
77,4,545,31,0,1,0,3,0,0,0,0,0,0,0,0,2,0,2,0,588,0,6,594,0
78,1,573,27,0,0,0,8,0,0,1,0,0,0,0,0,1,0,1,1,613,0,0,613,0
79,2,645,97,2,1,1,8,0,1,0,0,0,0,1,0,5,4,7,2,776,0,5,781,0
80,3,374,64,2,0,1,5,0,1,1,0,1,0,0,2,2,0,3,0,459,0,4,463,0
81,1,676,71,1,1,1,7,0,0,0,0,1,0,1,1,0,0,3,1,765,0,5,770,0
82,1,449,40,0,0,0,9,0,0,0,0,1,0,0,0,1,2,1,1,505,0,3,508,0
83,0,70,397,20,2,0,48,1,1,0,0,1,1,1,0,2,1,1,0,546,0,4,550,0
84,3,457,192,3,0,0,13,1,0,1,1,0,1,0,1,1,0,0,1,675,0,4,679,0
85,2,731,66,0,1,0,6,1,0,0,0,1,0,1,0,2,2,4,1,818,0,5,823,0
86,0,691,35,0,0,0,12,0,0,1,0,0,0,0,3,2,0,0,1,745,0,5,750,0
87,4,471,50,2,0,0,1,1,0,0,0,0,0,0,0,3,1,3,0,536,0,4,540,0
88,3,667,42,0,0,1,2,0,0,0,0,1,1,0,0,1,0,2,0,720,0,3,723,0
89,0,493,42,3,0,0,11,0,0,1,0,0,1,0,2,4,0,2,2,561,0,4,565,0
90,10,251,193,5,1,0,8,22,1,0,0,0,3,2,0,12,0,0,0,508,0,2,510,0
91,6,479,31,0,0,0,2,0,0,0,0,1,0,0,3,2,0,1,1,526,0,0,526,0
92,6,671,38,0,1,0,7,0,1,1,0,0,1,1,2,4,1,1,0,735,0,5,740,0
93,5,752,36,1,1,1,10,0,0,3,0,0,1,2,0,2,1,2,1,818,0,1,819,0
94,3,910,51,0,0,1,16,1,0,0,0,2,0,1,1,0,1,1,0,988,0,6,994,0
95,13,845,78,0,0,0,6,4,1,0,0,0,2,0,0,2,2,2,1,956,0,7,963,0
96,1,781,31,1,0,1,10,0,0,0,1,0,0,0,0,6,1,1,0,834,0,15,849,0
97,4,609,31,3,0,2,10,0,1,0,1,2,1,0,0,1,1,8,0,674,0,4,678,0
98,7,768,36,3,0,0,13,0,0,0,1,0,0,4,0,3,1,6,1,843,0,11,854,0
99,17,326,164,1,1,0,3,2,0,0,1,2,0,0,1,4,2,17,9,550,0,2,552,0
100,6,444,57,1,0,0,3,0,0,1,1,0,0,0,2,4,1,1,1,522,0,2,524,0
101,2,593,26,0,0,1,8,0,0,0,0,0,0,1,0,4,0,1,1,637,0,1,638,0
102,8,405,28,0,0,0,5,0,0,1,0,0,1,0,0,0,1,1,0,450,0,3,453,0
103,10,683,84,1,0,4,6,1,1,0,0,2,0,1,4,2,3,5,1,808,0,10,818,0
104,16,357,142,1,3,2,4,0,3,0,1,2,2,2,2,3,2,4,1,547,0,4,551,0
105,0,701,42,1,1,0,12,0,0,0,0,0,0,0,1,3,2,5,0,768,0,10,778,0
106,1,503,62,1,0,0,7,0,1,0,1,2,0,0,0,2,4,3,1,588,0,2,590,0
107,7,723,61,0,1,1,9,0,0,0,0,0,0,1,2,4,1,0,5,815,0,3,818,0
108,17,617,54,1,1,3,23,1,1,0,1,1,1,1,4,2,0,4,0,732,0,2,734,0
109,43,764,66,1,0,0,9,1,0,1,0,1,0,2,2,7,1,2,1,901,0,7,908,0
110,7,522,44,2,0,0,9,0,0,1,1,1,0,0,0,2,1,1,0,591,0,1,592,0
111,5,865,95,4,0,0,14,1,0,0,0,2,0,2,0,3,0,2,0,993,0,3,996,0
112,8,499,92,0,0,0,8,2,0,2,0,0,0,1,3,0,0,0,0,615,0,1,616,0
113,4,762,94,1,0,1,2,0,2,1,0,1,0,1,0,4,0,2,1,876,0,1,877,0
114,9,676,51,3,1,1,3,1,0,0,1,2,0,1,1,1,1,7,0,759,0,8,767,0
115,7,730,44,1,0,0,3,0,1,2,0,1,0,2,1,3,1,0,0,796,0,1,797,0
116,1,474,50,1,0,0,5,0,0,1,1,1,1,0,1,1,2,1,0,540,0,1,541,0
117,4,484,38,1,0,1,5,0,1,1,0,3,0,0,0,6,0,2,0,546,0,4,550,0
118,6,438,46,1,0,1,12,2,1,0,0,0,0,0,0,0,0,2,0,509,0,4,513,0
119,4,542,26,1,0,0,7,1,0,0,0,0,0,0,1,2,0,10,2,596,0,3,599,0
120,5,777,54,2,1,3,0,4,0,0,0,1,1,0,1,3,1,4,0,857,0,3,860,0
121,3,389,58,7,1,0,12,0,0,1,0,0,1,0,0,3,0,2,1,478,0,1,479,0
122,4,777,80,0,0,0,8,0,0,0,1,1,0,1,2,0,1,18,7,900,0,5,905,0
123,7,503,108,4,0,1,7,2,0,0,2,3,3,0,2,3,2,1,3,651,0,0,651,0
124,11,344,177,4,2,1,9,6,0,0,1,2,1,1,0,13,0,2,2,576,0,0,576,0
125,16,409,152,0,3,0,6,10,0,1,0,0,2,1,1,7,0,1,1,610,0,1,611,0
126,3,414,42,0,0,0,9,0,0,2,0,0,1,0,0,3,1,2,1,478,0,6,484,0
127,0,478,36,0,0,0,5,1,0,0,0,0,1,0,0,1,0,2,0,524,0,9,533,0
128,2,534,37,0,0,1,15,1,1,1,0,1,0,1,0,0,1,1,0,596,0,10,606,0
129,10,704,68,0,0,1,9,0,0,2,0,1,1,0,0,4,4,3,2,809,0,7,816,0
130,9,721,60,1,0,0,9,0,1,2,1,1,1,1,2,4,0,2,2,817,0,4,821,0
