polling station,,,,,,,,,,,,,,,,total,No. of Rejected Votes,Total,Number of tendered votes
,Parmar Maganbhai Amarabhai,Rathod Bhavsinhbhai Dahyabha,Liladharbhai Khodaji Vaghela,Govindji Okhaji Thakor,Jakasiji Jogaji Thakor,Parmar Bhaichandbhai Somabhai,Babubhai Karshanbhai Rabari,Imrankhan Mahmadkhan Nagori,Chhaganbhai Naranbhai Prajapati,Jagrala Imran Mahemud,Desai Ishwarbhai Mahadevbhai,Bhoraniya Soyabbhai Hasambhai,Molapiya Abdulkudus Abdulmajid,Vaghda Jivabhai Devabhai,None Of The Above,,,,
207,0,204,169,1,3,1,0,3,1,0,1,0,4,11,4,402,0,402,0
208,7,22,65,1,1,0,1,3,5,1,2,6,9,17,15,155,0,155,0
209,4,466,29,0,0,0,0,2,0,0,1,0,1,2,8,513,0,513,0
210,6,525,27,4,2,1,2,2,0,1,2,2,4,8,4,590,0,590,0
211,4,444,103,1,0,1,2,0,0,1,2,2,2,0,1,563,0,563,0
212,6,438,152,6,1,1,0,0,2,1,0,1,1,4,5,618,0,618,0
213,5,298,250,0,0,0,1,1,3,1,1,2,6,8,11,587,0,587,0
214,1,36,521,6,0,0,0,0,1,0,3,0,8,2,11,589,0,589,0
215,5,329,338,1,0,2,1,0,0,1,1,1,1,0,1,681,0,681,0
216,4,319,182,6,3,3,2,5,3,0,1,2,6,9,17,562,0,562,0
217,11,236,437,10,0,3,1,4,6,0,3,1,3,8,12,735,0,735,0
218,4,159,255,6,3,0,2,0,0,0,1,0,6,2,3,441,0,441,0
219,2,271,318,8,2,0,1,0,0,0,0,1,2,2,0,607,0,607,0
220,3,386,155,3,1,0,0,0,0,0,0,1,0,4,5,558,0,558,0
221,3,228,184,4,2,0,0,0,0,2,2,1,1,1,4,432,0,432,0
222,8,107,240,6,2,0,0,1,2,1,2,1,5,5,3,383,0,383,0
223,9,261,181,2,0,0,1,2,2,0,1,3,5,16,13,496,0,496,0
224,4,279,237,7,3,2,0,1,0,1,3,4,5,5,12,563,0,563,0
225,7,230,289,2,1,0,2,1,4,1,0,3,6,4,12,562,0,562,0
226,5,104,173,0,3,0,0,1,1,0,1,0,1,1,1,291,0,291,0
227,4,94,438,1,37,1,1,2,2,0,1,2,6,4,9,602,0,602,0
228,3,185,175,5,0,0,0,0,0,1,1,0,0,1,3,374,0,374,0
229,2,204,176,3,0,1,0,0,1,1,1,1,2,6,7,405,0,405,0
230,3,87,214,2,0,0,0,0,0,0,0,3,0,4,3,316,0,316,0
231,8,202,198,5,1,2,2,1,3,0,0,1,3,4,3,433,0,433,0
232,5,159,194,3,1,1,1,3,5,3,1,1,2,3,4,386,0,386,0
233,8,210,146,3,0,0,17,2,0,2,0,0,2,3,11,404,0,404,0
234,4,124,464,6,1,0,1,1,4,4,2,2,7,4,5,629,0,629,0
235,7,227,242,9,4,0,1,0,5,4,1,2,6,5,11,524,0,524,0
236,6,173,369,8,1,1,0,0,2,2,2,2,3,2,4,575,0,575,0
237,5,142,284,4,2,0,1,0,0,2,0,4,6,3,6,459,0,459,0
238,7,144,261,3,0,0,1,2,3,1,5,5,2,7,17,458,0,458,0
239,10,79,253,3,0,0,1,0,1,0,0,1,0,2,3,353,0,353,0
240,5,137,359,3,2,1,0,2,2,0,5,1,1,9,3,530,0,530,0
241,5,232,145,3,0,0,1,2,1,2,0,3,0,4,5,403,0,403,0
242,4,72,136,0,0,1,0,3,0,0,4,0,2,3,2,227,0,227,0
243,6,307,217,10,0,1,1,2,1,2,2,2,2,3,9,565,0,565,0
244,2,197,89,2,0,0,1,1,3,1,0,1,0,0,6,303,0,303,0
245,4,215,150,1,0,0,0,1,0,2,0,0,0,1,4,378,0,378,0
246,2,189,309,3,1,0,1,1,1,0,0,1,1,2,1,512,0,512,0
247,5,264,375,1,0,1,1,1,0,0,0,0,6,8,3,665,0,665,0
248,5,251,458,6,0,0,0,0,1,0,0,2,4,4,9,740,0,740,0
249,4,121,463,7,1,0,0,0,1,1,3,2,5,3,5,616,0,616,0
250,1,65,317,5,0,0,0,1,0,0,0,2,5,5,2,403,0,403,0
251,6,321,116,3,0,1,0,1,1,2,2,1,1,12,8,475,0,475,0
252,3,130,339,5,1,0,2,3,1,1,1,1,7,3,8,505,0,505,0
253,1,62,192,0,0,1,0,0,0,0,0,0,0,1,0,257,0,257,0
254,8,259,277,1,0,0,0,1,1,1,0,0,2,8,6,564,0,564,0
255,4,144,167,3,3,1,1,3,2,1,1,2,3,7,5,347,0,347,0
256,5,147,204,4,0,0,0,0,1,0,1,2,2,6,6,378,0,378,0
257,2,182,284,2,1,0,1,0,1,0,0,1,3,0,1,478,0,478,0
258,1,54,118,1,0,0,0,0,0,0,0,0,0,0,2,176,0,176,0
259,4,167,492,8,2,1,0,1,5,1,2,0,7,5,6,701,0,701,0
260,8,386,336,3,1,0,2,1,1,0,0,0,5,2,8,753,0,753,0
261,12,395,346,5,0,0,0,0,3,1,0,0,3,9,9,783,0,783,0
262,5,130,427,8,2,1,0,0,4,1,1,5,3,7,26,620,0,620,0
263,4,190,440,3,2,0,1,0,2,0,0,3,3,5,4,657,0,657,0
264,4,80,595,4,0,0,2,2,1,1,1,0,1,6,3,700,0,700,0
265,8,116,552,5,2,0,2,1,1,0,0,2,4,3,14,710,0,710,0
266,11,179,352,12,2,0,1,2,0,0,3,0,9,6,4,581,0,581,0
267,3,207,490,4,0,0,2,1,1,2,1,1,2,5,12,731,0,731,0
268,14,455,168,4,0,0,1,1,5,1,4,0,5,5,15,678,0,678,0
269,10,73,239,1,1,1,0,0,2,1,0,0,3,1,3,335,0,335,0
270,4,51,253,2,0,0,0,0,0,0,2,1,1,1,2,317,0,317,0
271,9,111,259,3,0,0,1,1,0,1,1,1,3,3,7,400,0,400,0
272,7,109,553,1,1,0,0,0,2,0,0,1,2,2,10,688,0,688,0
273,7,564,72,0,29,0,1,3,1,0,0,0,1,6,8,692,0,692,0
274,10,259,144,7,1,0,1,0,2,0,1,2,0,3,2,432,0,432,0
275,5,20,344,8,2,1,1,3,3,3,1,4,6,5,14,420,0,420,0
276,8,170,188,3,4,0,1,3,1,0,1,2,1,2,7,391,0,391,0
277,4,213,42,1,1,0,0,0,0,0,0,0,1,1,3,266,0,266,0
278,13,96,575,5,0,1,0,1,2,2,0,4,5,1,4,709,0,709,0
279,15,327,498,7,2,0,0,0,3,0,0,1,6,5,6,870,0,870,0
280,2,52,336,6,3,0,1,1,3,1,1,2,3,4,15,430,0,430,0
