Serial No.of Polling Station,,,,,,,,,,,,,,,,,,,,valid,No. of Rejected Votes,NOTA,Total,No. of Tendered votes
,Chauhan Keshavbhai Malabhai (Master),C. R. Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakumar Dhirubhai,Pyarelal Bharti,Mehul Patel,Warde Rajubhai Bhimrao,Sonal Kellogg,Arun S. Pathak (Journalist),Keshavji L. Saradva,Percy Munshi,Ramjan Mansuri (Journalist),Ravshaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwiv,Vimal Patel (Endhal),Saiyed Mehmud Ahmed,Hasan Shaikh,,,,,
211,9,534,29,1,1,0,1,0,0,0,2,0,0,0,5,3,0,4,0,589,0,0,589,0
212,3,586,30,0,0,0,2,0,0,1,1,1,0,2,2,4,1,5,0,638,0,4,642,0
213,6,588,28,0,0,0,3,0,0,1,0,0,1,1,2,2,1,0,0,633,0,3,636,0
214,5,714,45,1,0,0,13,5,0,0,0,2,0,1,1,2,0,0,1,790,0,2,792,0
215,3,721,52,2,0,2,3,1,0,1,0,2,0,1,1,2,1,3,2,797,0,0,797,0
216,10,299,80,6,1,0,6,3,2,0,1,0,0,0,0,2,2,3,0,415,0,0,415,0
217,16,716,60,1,0,0,12,0,1,0,1,1,2,2,0,2,3,9,0,826,0,1,827,0
218,14,448,118,2,0,0,10,1,1,0,1,2,1,3,2,7,2,0,0,612,0,2,614,0
219,12,427,122,1,0,0,16,0,0,1,0,3,0,0,1,2,0,0,0,585,0,1,586,0
220,14,622,187,1,1,1,22,0,0,2,0,1,0,0,2,7,3,2,0,865,0,3,868,0
221,22,545,164,2,0,0,10,4,0,1,1,4,2,2,5,10,1,2,0,775,0,2,777,0
222,6,567,49,4,0,0,2,1,1,1,0,1,0,0,1,0,1,5,0,639,0,4,643,0
223,11,688,85,0,0,0,13,4,0,4,1,1,0,0,0,3,0,4,0,814,0,2,816,0
224,37,676,162,1,1,0,7,1,0,1,3,4,0,1,1,13,1,8,3,920,0,9,929,0
225,7,662,77,2,0,1,5,1,2,2,1,0,2,1,1,7,1,1,0,773,0,4,777,0
226,45,562,125,3,1,0,7,3,1,9,2,2,0,2,3,3,1,3,0,772,0,5,777,0
227,2,453,104,3,0,0,11,1,0,4,0,1,2,1,4,3,2,5,1,597,0,2,599,0
228,2,419,84,1,0,0,8,1,1,1,0,0,0,2,0,2,1,1,0,523,0,7,530,2
229,4,550,40,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,599,0,4,603,0
230,4,428,44,0,0,1,13,2,1,2,1,2,0,1,0,2,1,6,1,509,0,2,511,0
231,16,400,28,1,1,0,10,2,0,0,1,0,1,0,1,2,0,1,1,465,0,0,465,0
232,16,479,100,1,0,0,34,0,0,0,1,2,1,3,1,1,1,0,1,641,0,5,646,0
233,3,373,130,1,2,0,17,0,1,0,0,2,0,0,1,3,1,4,1,539,0,6,545,0
234,6,365,31,4,7,1,13,1,1,0,2,1,0,2,3,3,0,3,2,445,0,1,446,0
235,6,442,45,0,4,0,7,0,0,1,0,1,1,1,2,3,0,1,0,514,0,1,515,0
236,15,361,64,0,2,0,3,0,0,0,1,1,1,1,3,6,1,1,1,461,0,1,462,0
237,15,557,70,3,1,0,7,1,1,1,2,4,3,0,3,7,0,4,0,679,0,0,679,0
238,4,182,67,0,1,0,27,1,0,0,0,1,1,2,0,4,0,1,0,291,0,12,303,0
239,7,276,67,3,1,1,7,0,0,0,2,2,1,2,1,3,0,1,1,375,0,4,379,0
240,7,264,95,0,0,1,17,0,0,0,0,1,2,1,0,2,0,3,1,394,0,1,395,0
241,5,388,143,0,1,3,21,0,0,0,0,0,1,1,2,4,0,1,1,571,0,8,579,0
242,6,387,110,2,0,0,15,0,1,0,0,0,1,0,0,5,3,0,2,532,0,1,533,0
243,1,718,79,0,0,0,3,0,0,2,2,1,0,0,3,2,3,7,0,821,0,2,823,0
