Sl. No.of Polling Station,,,,,,,,,,,,,,,,,,,"""None of the Above"" (NOTA)",valid,No of Rejected Votes,Total,No. of Test Votes (VVPAT),No. Tendered Votes
,L. K. Advani,Kiritbhai Ishvarbhai Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh Javansinh,Dipikaben Sutariya,Desai Khodabhai Laljibhai,Pagi Ganpatbhai Mavjibhai,Birjusinh Motisinh Kshatriya,Brahmbhatt Sanjaybhai Amarkumar,Raj Prajapati,Rahul Chimanbhai Mehta,Vaghela Kishorsinh Mahobatsinh,M. K.Shah,,,,,,
146,457,54,0,1,0,0,0,1,0,0,1,0,1,0,0,6,5,3,2,530,0,530,0,0
147,170,330,5,1,0,1,0,6,1,0,0,1,1,4,5,11,2,7,4,548,0,548,0,0
148,377,140,3,1,1,0,1,4,0,1,1,0,1,1,4,10,8,2,2,559,0,559,0,0
149,269,386,7,0,0,0,0,4,0,2,1,0,1,5,4,8,2,4,3,695,0,695,0,0
150,129,466,4,1,0,0,0,4,0,0,2,0,2,1,7,9,3,8,4,640,0,640,0,0
151,117,451,2,1,0,0,3,2,0,0,2,0,2,3,4,7,2,4,1,600,0,600,0,0
152,116,322,3,0,0,0,1,2,1,3,0,0,0,4,12,12,0,6,2,484,0,484,0,0
153,624,18,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,3,654,0,654,0,0
154,369,243,2,0,0,0,0,0,1,0,0,0,0,1,7,8,3,4,3,641,0,641,0,0
155,340,416,5,1,2,0,0,0,1,2,1,6,7,2,11,10,6,10,7,822,0,822,0,0
156,196,532,7,3,1,2,0,3,2,3,1,2,3,4,11,5,6,6,4,790,0,790,0,0
157,276,518,8,1,1,0,1,2,1,1,2,0,2,6,4,7,0,5,2,837,0,837,0,0
158,272,277,3,0,1,0,1,2,0,2,2,0,2,2,6,21,2,1,0,593,0,593,0,0
159,533,103,2,1,0,1,0,0,1,1,1,1,2,3,5,8,15,1,0,676,0,676,0,0
160,115,332,3,1,1,0,0,0,0,0,0,2,2,2,7,7,10,13,6,500,0,500,0,0
161,124,198,1,0,0,0,0,0,0,0,0,2,2,0,2,5,1,12,1,347,0,347,0,0
162,513,168,3,1,0,0,1,0,0,0,0,0,0,0,4,7,2,0,2,701,0,701,0,0
163,307,263,2,3,0,0,2,2,0,0,2,3,5,4,6,8,1,0,1,605,0,605,0,0
164,144,377,9,0,3,1,3,2,0,1,3,1,4,3,15,23,2,0,1,594,0,594,0,0
165,226,216,8,2,1,2,0,2,1,1,3,2,5,2,7,16,31,23,13,561,0,561,0,0
166,142,445,3,3,40,3,4,6,0,1,4,6,10,8,14,18,6,7,6,718,0,718,0,0
167,140,298,5,3,4,1,0,1,1,1,2,3,5,3,9,14,1,6,0,494,0,494,0,0
168,101,302,5,0,10,4,1,1,0,0,2,1,3,2,12,14,4,4,4,467,0,467,0,0
169,447,352,6,2,2,0,2,1,2,1,1,4,5,6,16,25,26,27,14,936,0,936,0,0
170,390,348,8,4,1,2,2,2,3,0,2,4,6,13,16,36,7,9,8,858,0,858,0,0
171,243,576,9,1,3,0,0,3,4,3,1,3,4,14,16,15,0,0,0,892,0,892,0,0
172,400,183,3,0,0,0,0,1,1,2,0,1,1,0,4,16,1,0,0,612,0,612,0,0
173,267,68,0,0,2,0,0,1,0,0,1,0,1,1,3,11,2,2,0,359,0,359,0,0
174,542,167,1,0,0,0,0,0,0,1,1,2,3,0,4,16,3,2,1,741,0,741,0,0
175,321,386,8,1,1,1,1,3,0,1,2,1,3,2,10,4,5,10,5,763,0,763,0,0
176,194,134,1,0,0,0,0,0,0,0,0,0,0,2,4,4,1,0,3,343,0,343,0,0
177,196,107,0,1,0,0,0,0,0,0,0,0,0,2,2,5,0,1,0,315,0,315,0,0
178,144,212,0,0,0,1,0,4,0,0,0,1,1,6,6,14,4,1,0,393,0,393,0,0
179,375,183,3,1,1,1,0,2,0,1,0,0,0,0,1,4,27,6,8,613,0,613,0,0
180,241,486,9,1,1,0,0,1,1,4,1,0,1,2,11,23,9,4,4,799,0,799,0,0
181,231,234,5,0,0,0,1,2,0,0,0,1,1,2,2,9,3,2,6,500,0,500,0,0
182,47,568,4,3,1,0,0,2,2,1,0,0,0,5,13,14,5,9,1,677,0,677,0,0
