Serial No. of Polling Station,No. of Valid votes cast in favour of,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes (Test Votes),Votes for NOTA option,Total Votes,Total No. of Tendered Votes
,KACHHADIYA NARANBHAI BHIKHABHAI,THUMMAR VIRJIBHAI KESHAVBHAI (VIRJIBHAI,DAFADA RAMJIBHAI NANJIBHAI,CHAVADA MANUBHAI PARSHOTTMBHAI,RATHOD JIVANBHAI R.,SANGANI VIJAYBHAI DINESHBHAI,SUKHADIYA NATHALAL VALLABHBHAI,USMANBHAI P. MAGHARA,JADAV MUSTAKBHAI,DHIMECHA NARESHBHAI NANJIBHAI,NATHABHAI DAYABHAI TOTA,MEHULBHAI HIMATBHAI SUKHADIA,RAMANI SURESHBHAI DHIRUBHAI,VALODARA VRAJLAL JIVABHAI,,,,,
19,160,195,1,0,1,0,6,2,0,0,1,1,2,6,375,0,4,379,0
20,299,139,2,1,0,2,7,3,0,3,1,0,11,6,474,0,9,483,0
21,108,69,3,3,0,0,48,0,0,1,0,0,9,3,244,0,2,246,0
22,208,14,1,0,0,0,0,0,0,0,0,2,0,0,225,0,3,228,0
23,145,96,5,0,0,0,15,2,1,0,4,0,6,6,280,0,6,286,0
24,290,141,3,1,0,0,24,2,2,1,0,0,5,3,472,0,6,478,0
25,103,108,1,1,0,1,5,0,0,0,0,1,2,4,226,0,5,231,0
26,273,179,2,0,2,1,1,2,0,0,0,0,2,5,467,0,14,481,0
27,427,241,12,0,0,0,6,1,0,1,0,1,3,8,700,0,27,727,0
28,184,232,8,6,2,4,53,0,0,0,3,8,52,6,558,0,14,572,0
29,409,337,8,4,2,0,6,0,0,2,4,3,9,10,794,0,19,813,0
30,513,151,1,0,1,4,13,2,2,2,6,0,7,8,710,0,26,736,0
31,264,344,7,1,5,4,8,3,2,3,2,2,5,16,666,0,26,692,0
32,574,129,3,0,1,0,4,0,1,0,0,1,5,3,721,0,13,734,0
33,240,178,4,0,0,1,8,0,0,1,6,1,2,4,445,0,9,454,0
34,341,227,4,12,0,0,6,0,1,1,1,0,4,1,598,0,6,604,0
35,264,162,0,1,0,0,8,0,1,1,0,0,2,0,439,0,12,451,0
36,430,68,3,12,2,0,7,4,0,0,3,3,3,3,538,0,9,547,0
37,481,267,3,4,1,0,15,0,0,0,1,2,2,3,779,0,10,789,0
