Sl. No.of Polling Station,,,,,,,,,,,,,,,,,,,,valid,No of Rejected Votes,Total,No. of Test Votes (VVPAT),No. Tendered Votes
,L. K. Advani,Kiritbhai Ishvarbhai Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh Javansinh,Dipikaben Sutariya,Desai Khodabhai Laljibhai,Pagi Ganpatbhai Mavjibhai,Birjusinh Motisinh Kshatriya,Brahmbhatt Sanjaybhai Amarkumar,Raj Prajapati,Rahul Chimanbhai Mehta,Vaghela Kishorsinh Mahobatsinh,M. K.Shah,"""None of the Above"" (NOTA)",,,,,
118,723,78,1,0,0,0,0,9,0,1,0,2,2,1,0,4,5,2,7,833,0,833,0,0
119,181,379,11,0,0,0,0,9,0,0,0,0,0,0,2,3,0,1,4,590,0,590,0,0
120,416,40,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,5,474,0,474,0,0
121,607,73,6,0,1,0,0,20,0,0,0,0,0,0,0,1,4,0,22,734,0,734,0,0
122,409,64,3,0,0,1,1,7,0,2,0,0,0,0,0,2,0,0,3,492,0,492,0,0
123,403,48,1,0,0,0,0,8,0,0,0,0,0,1,2,2,3,0,0,468,0,468,0,0
124,344,135,1,0,1,0,0,4,0,0,1,0,1,1,1,7,1,0,3,499,0,499,0,0
125,656,143,0,0,1,1,0,12,1,0,0,0,0,0,0,3,4,2,10,833,0,833,0,0
126,775,100,0,1,0,1,0,9,0,0,0,0,0,0,0,4,1,0,9,901,0,901,0,0
127,446,48,0,0,0,0,0,22,0,0,0,0,0,0,0,1,2,0,6,525,0,525,0,0
128,542,66,0,0,1,2,0,13,1,0,1,0,1,0,0,0,1,0,6,633,0,633,0,0
129,724,63,0,0,0,0,0,10,0,0,0,1,1,0,0,1,4,1,12,816,0,816,0,0
130,699,58,2,0,0,0,0,10,0,0,0,0,0,1,1,3,6,0,14,794,0,794,0,0
131,277,192,2,1,0,0,0,7,0,0,0,3,3,1,0,6,2,0,2,493,0,493,0,0
132,348,63,11,0,0,0,0,4,0,0,0,0,0,0,1,9,1,2,0,439,0,439,0,0
133,124,57,1,0,0,1,2,0,1,0,0,0,0,1,2,2,4,1,0,198,0,198,0,0
134,427,91,3,0,1,1,0,11,0,0,0,0,0,0,1,2,1,0,9,547,0,547,0,0
135,238,77,1,0,0,0,0,10,0,3,2,1,3,0,0,6,0,1,6,345,0,345,0,0
136,400,78,4,0,2,0,0,3,1,1,3,1,4,0,4,15,9,3,4,529,0,529,0,0
137,516,66,0,0,0,0,0,16,0,0,0,0,0,0,0,5,0,0,8,611,0,611,0,0
138,524,34,0,0,0,2,0,15,0,0,0,0,0,0,0,0,3,0,18,596,0,596,0,0
139,490,47,0,0,0,0,0,9,0,0,0,0,0,0,0,1,2,1,6,556,0,556,0,0
140,460,22,1,0,0,0,0,9,0,0,1,0,1,0,0,3,1,0,3,500,0,500,0,0
141,319,62,1,0,1,0,0,9,0,0,0,0,0,0,0,0,1,0,2,395,0,395,0,0
142,700,58,0,0,0,1,0,19,0,0,0,0,0,0,0,4,1,0,16,800,0,800,0,0
143,468,38,0,0,0,0,0,10,0,0,0,0,0,0,0,1,2,0,11,530,0,530,0,0
