polling station,Giri  Ramchandra  Vaijnath,Chauhan  Prabhatsinh  Pratapsinh,Ramsinh  Parmar,Piyushkumar  Dilipbhai  Parmar ,Shaikh  Kalim  Abdul  Latif,Shaikh  Majitmiya  Jivamiya,Gora  Shoeb  Mohmadh anif,S.N.  Chavada  (Chavada  Vakil),Chavada  Harishchandr asinh  Prabhatsinh,Patel  Pankajbhai  Ravjibhai,Mansuri  Mukhatyar  Mohammad   (Panter  M.Lala),Vankar  Manilal  Bhanabhai,Total of  Valid  Votes ,No of  rejected  Votes ,Votes for  'NOTA'  Option,Total  Votes,No of  tender  Votes 
151,10,252,206,7,0,4,2,1,3,5,0,8,498,0,21,519,0
152,4,177,274,3,0,0,1,1,1,4,4,7,476,0,5,481,0
153,8,241,201,5,2,1,1,0,2,3,3,4,471,0,7,478,0
154,3,105,83,1,0,1,1,0,2,2,6,4,208,0,8,216,0
155,2,328,149,4,0,0,1,1,4,3,3,5,500,0,8,508,0
156,8,104,303,3,0,0,2,1,9,6,7,5,448,0,25,473,0
157,4,160,240,4,2,0,1,1,4,3,2,2,423,0,12,435,0
158,3,378,113,2,0,0,0,3,0,5,7,5,516,0,14,530,0
159,4,304,148,4,2,1,0,1,2,4,1,9,480,0,12,492,0
160,4,321,97,3,2,0,1,2,2,2,11,5,450,0,15,465,0
161,12,155,376,3,1,1,0,0,4,8,16,3,579,0,9,588,0
162,9,168,213,5,0,0,1,3,1,2,7,7,416,0,11,427,0
163,3,122,186,2,1,0,2,2,2,3,8,4,335,0,11,346,0
164,3,199,255,4,0,0,1,4,3,5,6,8,488,0,19,507,0
