Sr. No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes,Votes for 'NOTA' Option,Total,No. of Tendered votes
,Chauhan Keshavbhai Malabhai (Master),C. R. Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakumar Dhirubhai,Pyarelal Bharti,Mehul Patel,Warde Rajubhai Bhimrao,Sonal Kellogg,Arun S. Pathak (Journalist),Keshavji L. Saradva,Percy Munshi,Ramjan Mansuri (Journalist),Ravshaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwivedi,Vimal Patel (Endhal),Saiyed Mehmud Ahmed,Hasan Shaikh,,,,,
249,7,376,276,4,1,0,1,2,0,3,0,0,2,5,13,7,1,3,2,703,0,3,706,0
250,6,548,23,1,1,0,2,0,1,0,1,1,2,0,1,1,0,2,1,591,0,2,593,0
251,4,426,34,0,0,0,2,0,0,0,1,0,0,0,0,1,0,2,0,470,0,5,475,0
252,3,684,153,1,1,0,2,0,0,1,0,0,0,0,1,3,1,9,1,860,0,6,866,0
,1119,97365,45636,560,173,121,1955,151,228,163,170,376,309,624,1003,1319,458,817,607,153154,0,1804,154958,0
253,9,443,60,2,0,0,2,0,0,2,1,0,0,1,5,1,5,3,2,536,0,3,539,0
254,4,495,38,0,0,1,5,1,0,0,0,1,0,0,0,1,3,1,1,551,0,2,553,0
255,5,536,33,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,577,0,0,577,0
256,2,279,34,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,320,0,3,323,0
,1139,99118,45801,562,173,122,1962,153,228,165,171,377,309,625,1010,1321,468,824,610,155138,0,1812,156950,0
