No & name of polling station,No. of Valid Votes Cast in Favours of,,,,,,,,,,,,,,,,Total of Valid Votes,No.of Reject ed Votes,Total,No.of tender ed Votes
,CHAUHAN 1 DEVUSINH JESINGBHAI,DINSHA PATEL,PANDAV BHAILALBHAI KALUBHAI,ABDUL RAZAKKHAN PATHAN,BADHIWALA LABHUBHAI JIVRAJBHAI,RANVEER PRANAYRAJ GOVINDBHAI,ADWARD KHUSHALBHA I,CHAUHAN DEVUSING MOTISHING,PATHAN AMANULLAKHA SITABKHA,PARIKH VIRAL HASMUKHBHAI,MALEK YAKUBMIYA NABIMIYA,MALEK SADIK HUSHEN MAH. HUSHEN,MALEK SABIRHUSEN ISMAELBHAI,RATANSINH UDESINH CHAUHAN,ROSHAN PRIYAVADAN SHAH,NONE OF THE ABOVE(NOTA),,,,
16,574,187,0,1,7,0,2,0,0,0,0,1,0,3,3,24,802,0,802,0
17,295,269,4,1,3,1,4,8,0,0,0,1,3,3,3,15,610,0,610,0
18,449,276,7,0,3,0,0,1,1,0,2,2,1,0,3,11,756,0,756,0
19,474,168,1,1,4,0,0,0,1,0,0,0,1,0,4,13,667,0,667,0
20,425,42,5,0,1,0,1,3,0,0,1,0,1,3,3,20,505,0,505,0
21,265,424,5,0,1,1,0,1,1,1,2,0,0,3,8,13,725,0,725,0
22,382,250,0,0,0,0,0,1,0,0,1,0,0,2,3,7,646,0,646,0
23,257,306,3,2,0,0,2,1,0,2,0,0,5,6,33,19,636,0,636,0
24,288,41,1,0,2,0,1,1,2,0,1,1,2,1,2,19,362,0,362,0
25,120,54,1,0,2,1,0,2,1,0,1,4,2,1,2,3,194,0,194,0
26,367,203,4,0,0,0,0,2,0,1,0,0,0,4,4,6,591,0,591,0
27,190,128,0,0,0,0,0,0,0,0,0,1,0,1,2,6,328,0,328,0
28,261,210,3,0,1,0,0,0,0,1,0,0,3,1,7,4,491,0,491,0
29,308,132,1,0,3,0,0,2,0,0,0,1,2,4,6,14,473,0,473,0
30,263,97,2,0,0,0,0,0,0,0,0,0,0,2,3,11,378,0,378,0
31,352,286,2,0,0,1,0,2,0,2,1,1,4,5,11,14,681,0,681,0
32,138,256,2,0,0,3,0,1,0,0,1,0,2,1,5,4,413,0,413,0
33,258,109,1,0,1,0,1,0,0,2,1,1,1,1,2,8,386,0,386,0
34,323,214,1,0,1,3,1,0,1,0,1,0,4,3,9,11,572,0,572,0
35,311,93,3,0,2,1,0,0,0,0,0,0,0,0,4,7,421,0,421,0
36,563,72,1,2,3,2,0,1,0,0,0,0,0,4,2,12,662,0,662,0
