Serial No. of Polling Station,No. Of Valid Votes Cast in favour of,,,,,,,,,,,,,,,,,,,,,,,,,Total Of Valid Votes,No. Of rejected Votes,NOTA,Total,NO. OF Tendered Votes
,AHIR VIKRAMBHAI ARJANBHAI MADAM,POONAMBEN HEMATBHAI MAADAM,SAMA YUSUF,KASAMBHAI,JHALA RAJENDRASINH,SAIYAD ABUBAKAR IBRAHIM,CHANDRAVIJAYSINH TAKHUBHA RANA,DALIT ASHOK NATHABHAI CHAVDA,DALIT JITESH BABUBHAI RATHORE,DHANJIBHAI LALJIBHAI RANEVADIA,DHARAVIYA VALLABHBHAI,NARIYA PRAVINBHAI VALLABHBHAI,PADHIYAR LALJIBHAI KARABHAI,PANDYA CHIRAGBHAI HARIOMBHAI,BATHWAR NANJIBHAI,MAMAD HAJI BOLIM,MEMAN RAFIK ABUBAKAR POPATPUTRA,VAGHER ALI ISHAK PALANI,VAGHER JAVIDBHAI OSMANBHAI NOLE,VANIYA GANGAJIBHAI,SACHADA HABIB ISHABHAI,SUTHAR HANSABEN HARSUKHBHAI GORECHA,SUMARA AMANDBHAI NOORMAMADBHAI SUMARA,SODHA SALIMBHAI NURMAMADBHAI,SANDHI MAMADBHAI HAJIBHAI SAFIA,,,,,
172,260,128,7,1,4,0,1,0,0,0,0,1,0,0,0,3,0,3,2,0,0,0,1,1,1,413,0,2,415,
173,28,109,3,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,146,0,1,147,
174,132,521,5,1,1,0,0,0,1,0,0,0,0,1,0,3,6,1,0,1,2,2,2,2,2,683,0,6,689,
175,246,283,4,1,0,0,0,0,0,0,0,1,1,0,1,5,8,5,2,1,2,2,3,0,1,566,0,5,571,
176,249,264,7,2,2,0,0,2,1,1,1,1,1,3,3,10,21,4,3,5,2,2,2,0,3,589,0,10,599,
177,12,306,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,322,0,0,322,
178,10,423,3,0,1,0,1,1,0,0,0,0,0,0,3,3,0,2,1,0,0,1,0,1,0,450,0,1,451,
179,24,204,5,1,0,1,0,0,0,1,0,1,0,2,2,0,3,1,0,0,0,0,0,0,1,246,0,4,250,
180,653,86,1,2,0,1,1,1,0,1,0,2,0,2,2,7,14,1,0,2,0,1,2,3,3,785,0,6,791,
181,604,104,3,0,0,0,0,0,0,1,0,2,2,0,1,9,6,0,1,0,1,2,4,0,3,743,0,7,750,
182,233,170,5,0,1,2,0,0,0,3,0,0,2,3,3,4,3,0,0,0,0,0,0,1,1,431,0,4,435,
183,36,110,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,151,0,1,152,
184,26,288,5,0,0,0,2,2,1,0,2,0,0,2,0,3,0,1,3,0,1,1,1,3,2,343,0,1,344,
185,195,239,12,3,6,1,1,0,1,3,1,1,2,5,7,11,3,5,3,0,2,1,4,2,1,509,0,8,517,
186,148,203,9,2,1,1,1,2,3,1,1,4,4,6,4,14,1,3,2,1,3,0,1,0,2,417,0,9,426,
187,136,631,8,2,1,1,0,1,0,1,4,2,2,1,4,6,6,6,2,0,2,2,0,0,2,820,0,4,824,
