polling station,,,,,,,,,,,,,,,,,,,,valid votes,rejected votes,nota,total,tendered votes
,Chuhan Kesavbhai Malabhai (Master),C.R.Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakuma r Dhirubhai,Pyarelal Bharti,Mehul Patel,Warde Rajubhai Bhimrao,Sonal Kellogg,Arun S. Pathak (Journalist),Keshavji L. Saradva,Percy Munshi,Ramjan Mansuri (Journalist),Ravshaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwivedi,Vimal Patel (Endhal),Saiyed Mehmud Ahmed,Hasan Shaikh,,,,,
136,1,878,22,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,911,0,4,915,0
137,1,820,37,1,0,1,4,0,0,1,0,0,0,0,0,0,1,6,0,872,0,4,876,0
138,1,622,27,1,1,0,5,0,0,0,0,0,1,0,0,2,0,0,0,660,0,5,665,0
139,19,190,410,7,1,0,9,3,0,0,0,5,2,4,2,4,5,3,7,671,0,5,676,0
140,3,891,37,0,0,0,25,0,0,0,0,0,2,0,0,0,0,0,1,959,0,17,976,0
141,0,684,34,0,0,0,6,0,0,0,0,1,0,0,0,2,0,0,0,727,0,8,735,0
142,1,437,22,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,467,0,21,488,0
142,0,828,33,0,0,0,19,0,1,0,1,0,0,0,0,1,0,0,0,883,0,9,892,0
143,19,485,231,3,1,1,14,1,1,2,3,3,2,0,1,1,1,3,4,776,0,4,780,0
144,52,354,156,3,0,1,17,8,1,2,0,4,1,1,1,8,1,2,0,612,0,4,616,0
145,31,282,148,4,0,0,10,0,1,0,0,2,0,0,1,2,1,0,0,482,0,2,484,0
146,11,196,469,2,2,1,7,13,0,1,0,3,2,0,3,6,3,0,4,723,0,2,725,0
147,19,269,186,5,1,0,9,4,0,0,0,3,1,1,0,9,0,1,2,510,0,2,512,0
148,1,691,58,0,0,0,4,1,0,0,0,2,0,0,0,0,0,1,0,758,0,11,769,0
149,0,258,86,1,0,1,3,0,0,1,0,0,0,0,0,0,0,2,0,352,0,2,354,0
