polling station,,,,,,,,,,,,,,,Valid Votes,Rejected Votes,of NOTA Options,Tendered Votes,total
,Jadeja Kandhalbhai Saramanbhai,Radadiya Vithalbhai Hansrajbhai,Sadiya Vrajlal Pababhai,Irfanshah Habibshah Suhravardi,Mansukh Sundarji Dhokai,Aghera Dhirajlal Bhurabhai,Unadakat Prakash Vallabhadas,Khunti Bharatbhai Maldebhai,Khokhani Lalitaben Mansukhbhai,Joshi Harish Liladhar,Tukadia G.R.,Patel Butani Rajeshbhai Maganbhai,Rathod Chandulal Mohanbhai,Vakil Vinzuda Ranjit Naranbhai,,,,,
188,43,516,2,2,4,1,1,1,1,0,0,0,0,1,572,0,3,0,575
189,25,302,0,0,5,1,0,0,1,0,0,0,0,0,334,0,6,0,340
190,48,447,3,2,7,0,0,0,1,0,0,0,1,2,511,0,9,0,520
191,192,262,3,1,3,3,3,3,4,0,1,5,4,3,487,0,18,0,505
192,221,196,2,7,6,0,2,1,1,1,1,2,0,3,443,0,19,0,462
193,24,511,2,3,7,1,0,0,1,0,2,0,0,4,555,0,3,0,558
194,197,246,21,1,3,0,0,1,1,0,1,1,2,2,476,0,13,0,489
195,460,191,5,8,10,1,0,3,2,4,5,3,3,3,698,0,30,0,728
196,45,379,1,2,2,3,0,2,4,0,0,0,3,1,442,0,5,0,447
197,156,298,10,4,1,1,2,3,3,0,3,1,3,3,488,0,3,0,491
198,138,238,4,2,3,0,2,1,0,1,2,3,1,1,396,0,5,0,401
199,89,367,7,4,3,0,0,0,1,0,2,0,2,6,481,0,8,0,489
200,180,415,1,1,6,1,4,2,1,0,2,2,2,1,618,0,7,0,625
201,140,408,4,2,13,4,0,0,1,1,1,1,2,1,578,0,8,0,586
202,161,329,4,5,33,0,0,2,0,0,0,0,6,3,543,0,14,0,557
203,194,290,9,5,12,1,0,1,2,0,1,3,2,3,523,0,9,0,532
204,91,439,3,3,8,1,0,3,1,1,1,3,3,10,567,0,11,0,578
205,20,408,0,1,5,0,0,0,0,0,2,3,0,2,441,0,4,0,445
206,265,168,20,2,1,0,0,7,0,0,0,1,2,3,469,0,10,0,479
207,40,226,1,1,1,0,0,0,0,0,2,3,0,2,276,0,1,0,277
208,79,281,3,0,2,0,0,1,1,0,0,0,2,5,374,0,3,0,377
209,122,394,2,3,7,3,2,1,1,0,1,3,0,4,543,0,16,0,559
210,149,569,8,1,30,0,1,1,0,1,4,0,2,0,766,0,13,0,779
211,49,541,5,4,1,3,1,0,1,0,0,2,1,5,613,0,8,0,621
212,108,473,5,1,2,1,6,2,0,1,2,1,1,3,606,0,6,0,612
213,52,454,0,1,7,0,0,0,1,0,1,0,0,2,518,0,5,0,523
214,46,191,0,1,3,0,1,0,1,0,0,1,1,1,246,0,2,0,248
215,215,328,9,6,10,4,1,2,4,0,0,1,1,4,585,0,12,0,597
216,52,186,2,2,1,0,0,0,0,0,1,1,2,3,250,0,5,0,255
217,131,267,3,1,4,1,0,0,1,2,1,0,0,1,412,0,8,0,420
218,77,688,2,1,2,1,0,1,1,1,0,1,0,1,776,0,8,0,784
219,82,272,2,2,2,0,0,1,0,0,1,0,1,2,365,0,2,0,367
220,120,280,8,7,4,1,0,1,0,1,0,2,3,2,429,0,8,0,437
221,93,316,1,0,4,0,1,0,1,0,1,3,1,3,424,0,4,0,428
222,145,198,8,3,1,1,0,1,1,1,1,0,2,2,364,0,4,0,368
223,247,231,2,5,7,1,4,1,1,2,2,2,0,3,508,0,12,0,520
224,129,360,1,2,5,0,3,1,0,1,0,1,3,7,513,0,24,0,537
225,118,262,5,4,2,1,0,2,0,0,0,1,4,6,405,0,11,0,416
226,186,307,6,1,0,1,0,1,0,1,2,0,3,2,510,0,12,0,522
227,70,492,4,2,1,1,0,0,0,0,1,2,0,4,577,0,1,0,578
228,134,262,1,4,2,1,1,0,2,1,3,1,2,2,416,0,5,0,421
229,99,94,0,1,3,1,0,0,1,0,0,0,1,0,200,0,7,0,207
230,88,372,2,3,5,1,1,0,0,0,2,1,1,3,479,0,13,0,492
231,130,411,4,2,4,0,1,1,0,0,3,0,1,1,558,0,10,0,568
232,153,279,12,10,5,2,1,1,3,1,0,2,1,3,473,0,18,0,491
233,75,335,6,4,3,1,2,0,1,0,1,3,1,0,432,0,4,0,436
234,28,303,3,1,0,2,0,0,1,0,1,2,1,2,344,0,3,0,347
235,50,423,10,3,6,0,1,0,0,2,2,1,2,0,500,0,8,0,508
