NO. OF VALID VOTES CAST IN FAVOUR OF CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial No. of Polling Station,AHIR VIKRAMBHAI ARJANBHAI MADAM,POONAMBEN HEMATBHAI MAADAM,SAMA YUSUF,KASAMBHAI,JHALA RAJENDRASINH,SAIYAD ABUBAKAR IBRAHIM,CHANDRAVIJAYSINH TAKHUBHA RANA,DALIT ASHOK NATHABHAI CHAVDA,DALIT JITESH BABUBHAI RATHORE,DHANJIBHAI LALJIBHAI RANEVADIA,DHARAVIYA VALLABHBHAI,NARIYA PRAVINBHAI VALLABHBHAI,PADHIYAR LALJIBHAI KARABHAI,PANDYA CHIRAGBHAI HARIOMBHAI,BATHWAR NANJIBHAI,MAMAD HAJI BOLIM,MEMAN RAFIK ABUBAKAR POPATPUTRA,VAGHER ALI ISHAK PALANI,VAGHER JAVIDBHAI OSMANBHAI NOLE,VANIYA GANGAJIBHAI,SACHADA HABIB ISHABHAI,SUTHAR HANSABEN HARSUKHBHAI GORECHA,SUMARA AMANDBHAI NOORMAMADBHA SUMARA,SODHA SALIMBHAI NURMAMADBHAI,SANDHI MAMADBHAI HAJIBHAI SAFIA,Total Of Valid Votes,No. Of rejected Votes,NOTA,Total,NO. OF Tendered Votes
147,312,438,12,3,0,1,1,2,0,1,0,1,3,3,10,6,11,10,1,1,3,1,1,2,0,823,0,3,826,0
148,455,23,1,2,0,0,0,0,0,0,0,0,0,0,2,6,4,0,0,0,1,0,0,1,1,496,0,4,500,0
149,429,48,0,1,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,486,0,5,491,0
150,625,68,0,0,2,0,2,0,0,0,0,0,0,0,2,6,7,2,0,1,0,0,0,0,0,715,0,3,718,0
151,517,71,0,0,0,2,0,0,0,0,0,1,0,1,2,5,6,0,0,0,0,0,0,1,0,606,0,5,611,0
152,616,120,1,0,1,2,0,0,0,0,0,5,2,1,0,3,2,1,1,0,0,0,0,0,1,756,0,7,763,0
153,282,43,0,1,2,0,1,0,0,0,0,1,0,0,0,4,1,0,0,0,1,0,0,0,1,337,0,2,339,0
154,448,33,0,0,5,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,1,0,1,2,0,497,0,0,497,0
155,685,62,0,0,12,3,1,0,0,0,0,3,0,0,2,11,19,1,0,0,0,0,0,0,1,800,0,2,802,0
156,39,465,2,0,3,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,1,0,516,0,5,521,0
157,729,137,8,0,2,1,0,1,1,0,1,2,2,1,2,14,9,3,1,0,0,1,1,1,0,917,0,5,922,0
158,863,56,1,1,4,1,0,1,2,0,0,1,0,0,2,3,8,1,1,0,0,1,1,0,1,948,0,1,949,0
159,577,17,1,1,3,3,0,1,1,0,0,2,0,1,2,17,18,3,1,0,0,1,0,0,0,649,0,11,660,0
160,326,406,14,0,9,1,2,0,1,1,2,1,1,3,3,10,5,0,1,0,1,2,0,1,2,792,0,6,798,0
161,513,358,3,1,2,3,7,3,2,6,3,4,4,6,10,17,5,6,3,0,0,0,2,0,1,959,0,4,963,0
162,471,139,4,2,1,0,0,1,0,0,1,0,0,5,2,23,10,1,1,0,0,2,1,1,1,666,0,1,667,0
163,174,419,6,1,0,2,2,0,1,1,1,5,1,0,2,21,9,1,1,0,3,2,3,1,2,658,0,4,662,0
164,75,187,1,0,2,0,1,0,0,1,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,273,0,0,273,0
165,681,193,8,0,2,2,0,2,1,1,1,3,0,3,1,19,8,1,3,1,1,0,1,2,3,937,0,5,942,0
166,297,215,44,1,0,0,2,0,0,3,0,2,0,3,4,11,2,1,0,1,0,0,0,0,0,586,0,7,593,0
167,417,308,10,3,1,3,0,2,2,1,2,3,1,4,5,22,9,2,0,1,1,1,1,2,1,802,0,11,813,0
168,449,208,1,0,6,6,0,0,0,0,0,0,0,0,3,3,5,1,1,0,1,0,1,0,0,685,0,3,688,0
169,177,592,3,1,9,1,1,1,0,0,2,0,1,0,1,2,10,2,1,0,1,2,0,0,1,808,0,6,814,0
170,200,487,25,0,4,0,0,0,0,1,0,0,0,0,2,5,2,6,0,0,0,0,0,0,1,733,0,7,740,0
