polling station,No. of valid votes cast in favour of,,,,,,,,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
,Narendra Modi,Mistri Madhusudan Devram,Rohit Madhusu dan Mohanb hai,Jadav Ambalal Kanabhai,Tapan Dasgup ta,Pathan Mahemudk han Razakkhan,Pathan Sahebkhan Aasifkhan,Sunil Digambar Kulkarni,,,,,
155,704,205,5,4,1,1,4,10,952,0,18,952,0
156,465,56,2,0,0,0,0,5,529,0,1,529,0
157,543,29,6,0,0,0,0,10,595,0,7,595,0
158,1039,120,4,0,2,0,0,13,1188,0,10,1188,0
159,412,101,2,2,0,1,1,4,532,0,9,532,0
160,682,104,3,0,0,1,0,5,807,0,12,807,0
161,660,96,1,0,0,0,0,3,766,0,6,766,0
162,547,126,3,1,0,0,0,1,682,0,4,682,0
163,751,197,2,1,5,1,2,3,973,0,11,973,0
164,433,210,5,0,0,0,1,4,669,0,16,669,0
165,728,89,2,0,1,0,0,2,829,0,7,829,0
166,230,145,1,0,0,0,7,6,395,0,6,395,0
167,179,109,4,0,1,1,0,2,304,0,8,304,0
168,461,215,4,1,2,1,2,10,706,0,10,706,0
169,513,93,3,1,1,0,0,6,629,0,12,629,0
170,432,100,10,1,2,1,3,4,582,0,29,582,0
171,536,109,2,1,0,0,0,7,665,0,10,665,0
172,282,72,0,0,1,0,0,3,363,0,5,363,0
173,822,72,3,1,1,1,0,12,925,0,13,925,0
174,878,43,0,1,0,0,0,6,937,0,9,937,0
175,896,57,1,1,1,0,0,2,970,0,12,970,0
176,813,72,3,0,2,0,1,8,914,0,15,914,0
177,133,742,4,0,2,1,2,8,903,0,11,903,0
178,491,469,4,1,3,0,0,3,979,0,8,979,0
179,642,167,1,1,1,2,0,6,828,0,8,828,0
180,924,67,1,2,0,0,0,7,1010,0,9,1010,0
181,804,55,0,0,1,0,1,1,872,0,10,872,0
182,721,62,1,0,0,0,0,3,800,0,13,800,0
183,878,52,0,1,0,1,0,8,952,0,12,952,0
184,736,216,1,1,1,1,1,14,983,0,12,983,0
185,698,71,0,0,0,1,1,5,788,0,12,788,0
186,563,65,2,1,0,0,1,4,640,0,4,640,0
187,391,27,1,0,0,0,2,2,431,0,8,431,0
188,884,67,3,1,0,2,1,3,974,0,13,974,0
189,793,114,2,0,1,0,0,13,947,0,24,947,0
190,778,66,0,0,0,0,0,1,856,0,11,856,0
191,766,158,2,1,0,0,1,6,945,0,11,945,0
192,823,117,0,2,2,1,1,2,953,0,5,953,0
193,573,82,2,0,0,0,0,5,674,0,12,674,0
194,416,24,0,0,0,0,0,4,453,0,9,453,0
195,556,61,0,0,0,0,1,3,629,0,8,629,0
196,919,86,1,1,0,0,0,6,1029,0,16,1029,0
