,Serial No. of Polling Station,No. of Valid votes cast in favour of,,,,,Total of valid votes,No.of rejected votes,NOTA,Total,No of tendered votes,
,,Kamalbhai Matang,Chavda Vinod Lakhamashi,Dr. Dinesh Parmar,Danicha Govindbhai Punamchand,Hirji Punjabhai Siju,,,,,,
,307,5,267,173,1,18,464,0,7,471,0,
,308,6,540,193,2,7,748,0,6,754,0,
,total,45,2379,1003,15,103,3545,0,49,3594,0,
,309,9,459,133,7,2,610,0,9,619,0,
,310,11,193,159,10,67,440,0,0,440,0,
,311,27,225,203,6,19,480,0,5,485,0,
,312,7,343,173,3,4,530,0,4,534,0,
,313,7,104,32,1,0,144,0,7,151,0,
,314,0,197,25,1,2,225,0,6,231,0,
,315,15,382,237,6,12,652,0,12,664,0,
,total,76,1903,962,34,106,3081,0,43,3124,0,
,316,11,723,102,4,3,843,0,8,851,0,
,317,12,471,55,5,3,546,0,6,552,0,
,318,7,152,98,3,16,276,0,7,283,0,
,319,16,407,390,11,17,841,0,17,858,0,
,320,1,242,5,1,0,249,0,1,250,0,
,321,17,302,195,4,18,536,0,9,545,0,
,322,12,170,294,8,12,496,0,8,504,0,
,total,76,2467,1139,36,69,3787,0,56,3843,0,
,12 01-ABADASA,,,,,,,,,,,
,323,10,445,141,9,6,611,0,10,621,0,
,324,8,592,113,1,1,715,0,3,718,0,
,325,10,50,112,6,205,383,0,7,390,0,
,326,14,181,38,4,6,243,0,11,254,0,
,327,16,223,294,10,103,646,0,22,668,0,
,328,9,41,87,4,157,298,0,6,304,0,
,329,14,160,103,4,17,298,0,9,307,0,
,Total,81,1692,888,38,495,3194,0,68,3262,0,
,Total No. of votes recorded at polling stations,4633,70027,58184,1832,6600,141276,0,2712,143988,0,
,No. of votes recorded on postal ballot papers,0,0,0,0,0,0,0,0,0,0,
,Total Votes Polled,4633,70027,58184,1832,6600,141276,0,2712,143988,0,
,13 01-ABADASA,,,,,,,,,,,
