,No. of valid votes cast in favour of,,,,,,,,,,,,,,,,,,,,,,,
Serial No. Of Polling Station,Chauhan Keshavbhai Malabhai (Master),C. R. Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakumar Dhirubhai,Pyarelal Bharti,Mehul Patel,Warde Rajubhai Bhimrao,Sonal Kellogg,Arun S. Pathak (Journalist),Keshavji L. Saradva,Percy Munshi,Ramjan Mansuri (Journalist),Ravshaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwivedi,Vimal Patel (Endhal),Saiyed Mehmud Ahmed,Hasan Shaikh,Total of Valid Votes,No. of Rejected Votes,Votes for 'NOTA' Option,Total,No. of Tendered votes
114,31,485,190,2,0,0,10,1,1,3,1,3,0,4,2,8,1,5,0,747,0,5,752,0
115,16,529,125,4,0,3,10,0,0,0,1,0,1,1,0,0,3,2,0,695,0,3,698,0
116,12,504,90,0,0,1,4,0,0,1,0,0,0,0,1,4,2,1,1,621,0,2,623,0
117,7,531,92,1,0,0,11,1,0,0,0,0,0,1,3,4,4,3,1,659,0,5,664,0
118,25,459,107,2,1,0,3,0,0,1,0,0,1,4,5,6,2,4,0,620,0,6,626,0
119,0,376,99,1,0,0,6,1,0,0,0,3,0,1,1,2,0,1,0,491,0,7,498,0
120,4,291,94,1,0,0,4,0,0,0,1,0,1,2,1,3,1,6,5,414,0,3,417,0
,752,49238,18145,276,70,69,918,72,64,54,96,210,168,313,421,613,254,541,304,72578,0,717,73295,0
,752,49238,18145,276,70,69,918,72,64,54,96,210,168,313,421,613,254,541,304,72578,0,717,73295,0
121,3,375,107,2,0,0,3,0,0,0,1,2,1,2,0,4,1,4,3,508,0,4,512,0
122,7,486,141,3,1,0,1,1,1,1,1,1,1,7,0,6,2,2,1,663,0,4,667,0
123,6,432,219,2,1,1,5,0,2,1,1,1,1,1,1,2,1,4,0,681,0,4,685,0
124,10,505,132,4,0,2,5,0,0,3,2,3,1,1,5,6,5,4,7,695,0,4,699,0
125,4,426,77,1,0,0,2,0,0,0,1,0,1,5,0,1,0,0,0,518,0,5,523,0
126,3,267,96,1,1,0,3,1,0,0,1,0,0,1,3,2,0,0,2,381,0,1,382,0
127,6,593,99,1,2,0,10,0,1,0,1,1,1,15,1,5,1,7,0,744,0,1,745,0
128,14,635,163,2,1,2,11,1,1,1,1,2,1,0,1,7,2,6,4,855,0,7,862,0
129,6,708,148,1,0,0,19,1,0,1,0,0,0,1,3,4,5,2,1,900,0,3,903,0
130,1,290,81,2,0,0,9,0,1,0,0,1,2,0,0,4,0,3,7,401,0,25,426,0
131,18,399,183,6,2,1,16,1,1,0,0,0,2,1,1,4,0,4,3,642,0,17,659,0
132,1,346,227,7,1,0,8,1,1,0,1,1,3,2,7,7,7,8,5,633,0,13,646,0
,831,54700,19818,308,79,75,1010,78,72,61,106,222,182,349,443,665,278,585,337,80199,0,805,81004,0
,831,54700,19818,308,79,75,1010,78,72,61,106,222,182,349,443,665,278,585,337,80199,0,805,81004,0
133,1,236,122,3,0,0,1,0,0,0,0,1,0,2,1,1,1,4,1,374,0,2,376,0
134,0,445,34,3,0,0,7,1,1,0,1,1,3,1,6,1,5,6,2,517,0,1,518,0
135,0,300,61,1,1,0,4,0,1,1,0,0,0,0,0,1,0,4,1,375,0,5,380,0
136,8,416,117,4,0,0,2,0,1,0,0,3,0,0,2,1,1,2,1,558,0,4,562,0
137,6,526,115,3,1,0,8,2,1,1,2,2,0,0,2,2,0,1,0,672,0,7,679,0
138,8,641,133,2,3,2,5,4,1,1,1,0,0,3,3,4,2,8,2,823,0,8,831,0
139,5,516,143,4,2,1,6,1,0,0,0,1,1,0,6,0,0,3,0,689,0,4,693,0
140,8,651,122,3,0,1,14,0,0,0,0,1,0,0,2,3,0,7,2,814,0,6,820,0
141,4,435,139,1,0,1,0,0,0,0,0,1,0,1,1,1,0,8,0,592,0,5,597,0
142,2,654,50,0,0,0,3,0,1,0,1,1,1,0,0,1,0,1,1,716,0,3,719,0
143,9,598,202,3,2,4,9,0,1,1,1,3,1,2,3,7,1,10,1,858,0,5,863,0
144,6,573,155,4,0,0,6,0,0,1,0,3,0,1,1,4,3,5,2,764,0,1,765,0
,888,60691,21211,339,88,84,1075,86,79,66,112,239,188,359,470,691,291,644,350,87951,0,856,88807,0
,888,60691,21211,339,88,84,1075,86,79,66,112,239,188,359,470,691,291,644,350,87951,0,856,88807,0
145,3,259,65,3,0,0,1,0,0,0,0,1,2,2,14,7,3,5,7,372,0,2,374,0
146,0,299,17,0,0,0,4,0,0,0,0,0,0,1,0,0,1,1,1,324,0,2,326,0
147,3,359,122,0,0,1,5,1,0,1,0,0,1,0,11,4,1,6,3,518,0,8,526,0
148,3,332,122,2,0,0,3,2,0,0,1,0,0,1,0,2,1,2,0,471,0,6,477,0
149,6,492,128,0,0,0,6,0,0,0,0,0,0,2,4,3,3,6,1,651,0,4,655,0
150,3,297,41,3,1,0,5,0,0,0,0,0,0,1,1,0,1,4,2,359,0,7,366,0
151,9,273,95,1,2,0,6,1,0,0,0,0,1,2,2,5,4,3,8,412,0,6,418,0
152,5,469,44,1,0,0,6,0,3,0,1,1,0,1,0,4,1,3,3,542,0,5,547,0
153,7,540,68,0,1,1,9,0,0,0,0,0,0,0,4,2,4,3,0,639,0,11,650,0
154,6,545,77,1,0,0,3,0,0,0,0,3,1,0,2,0,9,7,4,658,0,3,661,0
155,5,545,37,1,0,0,4,0,0,0,0,0,0,3,4,3,8,5,5,620,0,6,626,0
156,1,205,137,0,0,0,3,1,0,1,0,0,0,0,0,1,0,8,5,362,0,3,365,0
,939,65306,22164,351,92,86,1130,91,82,68,114,244,193,372,512,722,327,697,389,93879,0,919,94798,0
,939,65306,22164,351,92,86,1130,91,82,68,114,244,193,372,512,722,327,697,389,93879,0,919,94798,0
157,7,333,46,0,1,0,1,0,0,0,1,1,0,0,0,4,9,6,1,410,0,3,413,0
158,7,474,88,0,1,0,3,0,0,0,0,0,0,1,1,4,3,3,1,586,0,0,586,0
159,3,548,99,2,1,2,3,2,0,0,0,1,0,1,3,1,1,5,0,672,0,6,678,0
160,19,506,173,6,1,0,1,1,1,1,1,2,1,4,9,9,3,6,2,746,0,13,759,0
161,5,377,116,2,0,0,7,1,0,1,0,0,2,1,6,4,5,2,4,533,0,7,540,0
162,4,408,93,2,1,0,5,1,0,0,0,0,0,1,3,1,2,3,2,526,0,1,527,0
163,3,665,149,5,2,1,14,0,1,0,1,0,2,1,3,5,3,17,6,878,0,2,880,0
164,5,576,160,3,1,1,18,0,0,0,1,4,0,2,0,2,2,3,2,780,0,31,811,0
165,4,428,149,2,0,0,21,1,2,0,0,3,2,0,2,8,2,4,0,628,0,13,641,0
166,4,439,185,3,0,0,6,1,1,0,0,0,0,2,2,0,1,1,1,646,0,5,651,0
167,3,326,342,6,1,0,0,0,0,1,0,2,2,9,10,6,2,5,4,719,0,3,722,0
168,6,232,497,2,0,1,2,0,1,1,0,1,14,23,14,6,5,11,30,846,0,6,852,0
,1009,70618,24261,384,101,91,1211,98,88,72,118,258,216,417,565,772,365,763,442,101849,0,1009,102858,0
,1009,70618,24261,384,101,91,1211,98,88,72,118,258,216,417,565,772,365,763,442,101849,0,1009,102858,0
169,1,384,70,2,0,0,6,0,0,0,0,0,0,2,3,0,0,0,0,468,0,7,475,0
170,7,403,116,2,0,1,6,0,1,1,1,1,1,5,6,3,4,6,6,570,0,14,584,0
171,5,367,157,2,0,2,1,0,0,1,1,5,4,8,2,12,3,10,8,588,0,10,598,0
172,8,337,72,1,0,0,0,0,0,0,0,0,0,1,0,3,1,2,1,426,0,2,428,0
173,1,590,182,1,2,0,11,0,2,0,0,0,1,0,1,3,4,2,3,803,0,10,813,0
174,2,315,396,3,1,0,2,1,1,1,0,1,1,1,2,6,0,7,3,743,0,3,746,0
175,14,498,284,11,2,0,6,4,4,3,3,6,3,0,8,27,0,3,4,880,0,8,888,0
