No & name of polling station,No. of Valid Votes Cast in Favours of,,,,,,,,,,,,,,,Total of Valid Votes,No. of  vote Rejected votes  (test Votes),"Votes for ""NOTA"" option",total
,Chauhan Devusinh  Jesingbhai (Chauhan  Devusinh),Dinsha Patel,Pandav Bhailalbhai  Kalubhai,Abdul Razakkhan  Pathan,Badhiwala Labhubhai  Jivrajbhai,Ranveer Pranayraj  Govindbhai,Khristi Adward  Khushalbhai,Chauhan Devusing  Motishing,Pathan Amanullakhan  Sitabkhan,Parikh Viral  Hasmukbhai,Malek Yakubmiya  Nabimiya,Malek Sadik Hushen  Mahammd Hushen,Malek Sabirhusen  Ismaelbhai,Ratansinh Udesinh  Chauhan,Roshan Priyavadan  Shah,,,,
176,254,220,3,0,1,0,1,0,0,0,1,0,2,6,8,496,0,28,524
177,381,92,2,0,2,0,0,0,0,0,0,0,1,1,0,479,0,5,484
178,220,296,1,1,2,1,3,1,0,0,1,0,0,0,0,526,0,1,527
179,260,201,2,0,6,0,0,0,0,0,0,0,0,0,2,471,0,4,475
180,384,229,0,0,5,1,0,4,0,0,0,0,2,1,5,631,0,9,640
181,261,147,3,2,0,0,0,1,0,0,1,1,1,3,4,424,0,15,439
182,209,269,2,3,1,1,0,1,1,0,1,0,2,3,6,499,0,16,515
183,275,214,0,0,1,0,0,1,0,0,0,0,0,0,0,491,0,4,495
184,445,294,6,0,2,1,0,3,1,0,1,1,0,5,13,772,0,26,798
185,217,284,6,0,0,1,1,1,1,0,1,0,4,4,14,534,0,25,559
186,359,295,2,1,0,0,0,0,0,0,0,1,0,1,2,661,0,9,670
187,692,84,3,0,2,0,0,3,0,0,0,1,2,2,3,792,0,19,811
188,277,225,1,0,0,0,0,0,0,0,0,0,0,1,0,504,0,8,512
189,246,328,3,0,3,0,0,1,0,1,0,1,1,2,3,589,0,9,598
190,99,116,2,0,0,0,0,0,0,0,0,1,0,1,3,222,0,2,224
191,228,472,2,0,3,0,0,1,2,0,0,0,1,2,4,715,0,9,724
192,379,113,1,0,0,0,0,0,0,0,0,0,1,2,12,508,0,5,513
193,119,325,0,0,0,0,1,2,1,1,1,2,3,7,6,468,0,12,480
194,269,228,2,2,0,0,2,2,0,0,1,1,3,1,7,518,0,14,532
195,384,382,0,1,3,3,0,1,0,3,1,0,1,5,11,795,0,26,821
196,421,332,3,1,1,0,1,0,0,1,2,3,1,4,17,787,0,19,806
197,178,255,2,0,0,0,0,2,2,0,1,0,0,3,7,450,0,19,469
198,174,380,5,1,1,1,2,1,1,0,0,0,2,2,12,582,0,6,588
199,251,127,1,1,0,0,0,1,0,2,0,1,1,1,7,393,0,17,410
200,146,92,2,0,0,0,0,1,0,0,0,0,0,0,2,243,0,5,248
201,184,309,4,0,1,0,0,1,0,0,0,1,0,0,1,501,0,10,511
202,213,318,4,3,2,0,1,0,0,0,0,2,4,3,9,559,0,14,573
203,280,183,4,1,3,1,0,1,0,0,5,3,4,2,9,496,0,14,510
204,237,169,2,1,2,0,0,2,2,1,0,0,5,0,11,432,0,25,457
205,154,102,1,0,1,1,0,1,0,0,0,0,2,3,7,272,0,17,289
206,176,322,3,0,1,0,1,1,0,2,0,6,8,4,17,541,0,28,569
207,393,349,5,1,2,1,4,0,0,0,2,4,1,1,11,774,0,21,795
208,386,267,3,2,1,0,0,0,1,0,1,1,0,4,6,672,0,19,691
209,347,158,2,0,8,0,0,0,0,0,1,1,2,3,6,528,0,24,552
210,30,255,1,0,2,1,1,0,0,0,1,0,0,0,1,292,0,2,294
211,484,261,3,1,4,0,3,1,0,1,3,3,4,1,9,778,0,14,792
212,370,29,1,0,2,0,0,0,0,0,0,0,0,0,1,403,0,3,406
213,287,239,3,2,0,0,0,0,1,0,0,0,1,6,4,543,0,13,556
214,200,262,2,1,0,0,1,1,0,0,0,0,2,5,6,480,0,9,489
215,230,154,0,1,1,0,0,0,0,1,0,0,3,5,7,402,0,22,424
216,347,230,4,0,0,0,0,0,2,0,0,1,2,1,4,591,0,18,609
217,253,160,1,0,0,2,0,1,0,0,0,1,1,0,11,430,0,9,439
218,133,185,6,0,1,0,1,2,0,2,2,0,3,6,3,344,0,14,358
219,195,149,1,0,0,0,0,1,0,0,1,0,2,0,1,350,0,5,355
220,393,365,1,0,0,1,0,0,0,0,1,0,1,0,4,766,0,12,778
221,560,381,4,0,2,0,0,2,0,1,0,0,3,3,9,965,0,24,989
222,172,236,3,0,1,0,0,1,0,0,1,2,1,7,12,436,0,10,446
223,530,259,11,0,1,1,1,1,0,1,0,1,4,8,3,821,0,24,845
224,343,373,8,0,1,0,2,0,0,1,0,1,1,4,6,740,0,22,762
225,650,144,4,1,1,0,2,3,0,0,0,0,0,1,3,809,0,12,821
226,343,244,2,1,1,0,0,0,1,0,0,1,2,3,8,606,0,25,631
227,427,439,2,2,0,0,0,2,0,0,0,1,1,1,4,879,0,17,896
228,333,399,5,2,2,0,2,3,0,0,1,0,2,2,7,758,0,15,773
229,308,226,6,3,0,1,0,0,0,1,0,2,2,4,7,560,0,13,573
230,333,336,6,0,0,0,4,5,2,1,2,0,2,7,10,708,0,41,749
