Sr.No of Polling Station,No.of Valid Votes Cast Favour of,,,,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes,NOTA,Total,No.Tendred Votes
,KOLIPATEL SOMABHAI GANDABHAI,PARMAR MINAXIBEN VIJAYBHAI,FATEPARA DEVJIBHAI GOVINDBHAI,PATEL JETHABHAI MANJIBHAI,BAR AJAMALBHAI KARMANBHAI,MAJETHIYA SAMARATBHAI JERAMBHAI,CHAVADA PALABHAI NANJIBHAI,PARMAR PARBHUBHAI GOKABHAI,PARMARVASHARAMBHAI BAVALBHAI,MAKWANA UKABHAI AMRATBHAI,MAKWANA VASHARAMBHAI KARSHANBHAI,ZALA MANSINH SHIVUBHA,VADALIYA KALUBHAI MALUBHAI,VAGEHLA PRAKASHBHAI BACHUBHAI,VORA BHAVABHAI DEVABHAI,SAPARA VIPULBHAI RAMESHBHAI,SANKALIYA GANGARAMBHAI TAPUBHAI,,,,,
199,67,3,456,9,0,0,2,0,0,0,0,0,1,2,2,0,3,545,0,8,553,0
200,327,5,457,7,0,0,1,0,0,0,1,0,0,0,4,8,13,823,0,6,829,0
201,129,0,327,3,0,0,0,0,0,0,1,0,1,0,1,4,5,471,0,3,474,0
202,127,1,397,10,0,0,0,0,0,1,0,1,0,2,2,1,1,543,0,6,549,0
203,51,3,446,2,1,2,3,0,0,1,0,0,1,12,1,4,0,527,0,6,533,0
204,70,4,283,4,0,0,0,0,0,1,0,0,1,2,0,1,5,371,0,7,378,0
205,698,3,32,1,0,0,0,0,0,0,0,1,0,0,1,4,25,765,0,3,768,0
206,134,1,413,0,0,2,0,0,0,0,0,2,0,4,2,4,1,563,0,5,568,0
207,168,1,369,3,0,0,0,0,1,0,0,0,1,1,1,2,3,550,0,1,551,0
208,304,3,237,3,1,0,0,0,0,1,0,0,0,2,1,3,23,578,0,6,584,0
209,639,0,50,5,1,0,0,0,2,0,0,0,0,0,1,5,34,737,0,6,743,0
210,30,2,285,9,0,1,0,0,0,1,0,1,1,1,0,1,0,332,0,5,337,0
211,61,1,503,8,1,0,0,0,0,0,0,1,0,2,1,3,1,582,0,9,591,0
212,42,2,360,5,0,0,0,0,0,1,1,0,0,2,1,3,3,420,0,6,426,0
213,69,0,424,7,0,0,1,0,0,0,0,1,1,1,0,0,0,504,0,10,514,0
214,22,4,411,5,2,0,0,0,0,0,0,0,0,0,0,1,0,445,0,4,449,0
215,60,1,403,7,0,1,0,1,0,0,0,0,0,0,0,1,2,476,0,5,481,0
216,58,0,454,5,0,0,0,0,0,0,1,0,0,1,0,1,0,520,0,7,527,0
217,402,1,34,2,0,0,0,0,0,0,0,0,0,0,0,4,12,455,0,3,458,0
218,82,5,261,4,5,2,1,1,1,1,1,0,0,4,1,5,7,381,0,10,391,0
219,671,4,10,0,0,0,0,1,1,0,0,1,1,1,3,11,10,714,0,0,714,0
220,360,2,5,2,0,0,0,0,0,0,0,0,0,0,1,5,11,386,0,1,387,0
221,776,1,4,5,0,0,0,0,0,0,0,0,0,1,0,6,23,816,0,1,817,0
222,865,3,7,3,1,1,0,0,0,2,0,1,0,0,1,8,8,900,0,1,901,0
223,494,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,11,517,0,2,519,0
224,748,2,5,3,0,0,1,1,0,0,0,0,0,0,1,4,33,798,0,2,800,0
225,209,3,106,24,4,0,1,0,0,0,0,2,1,2,3,10,4,369,0,6,375,0
226,256,6,69,6,0,0,0,0,0,0,0,1,1,1,2,5,3,350,0,9,359,0
227,283,0,273,7,2,0,0,0,0,0,0,0,0,2,1,1,3,572,0,9,581,0
228,116,5,536,11,1,0,0,2,3,1,1,0,1,19,5,11,9,721,0,4,725,0
229,67,1,314,7,0,0,0,0,0,0,0,0,0,1,1,4,1,396,0,8,404,0
230,49,4,342,4,0,0,0,0,1,0,0,0,0,1,0,2,2,405,0,4,409,0
231,91,3,376,1,0,0,0,1,0,0,0,0,0,0,1,3,3,479,0,6,485,0
232,68,3,355,3,0,0,0,0,0,0,0,0,0,0,0,0,2,431,0,6,437,0
233,97,4,562,10,1,0,0,1,0,0,0,2,1,15,5,12,4,714,0,4,718,0
234,540,1,65,7,0,0,1,0,0,0,1,1,1,0,4,13,9,643,0,5,648,0
235,185,6,242,12,24,0,0,3,1,0,0,1,0,0,0,2,4,480,0,8,488,0
236,63,1,327,10,1,1,1,0,1,1,0,0,1,2,1,7,1,418,0,3,421,0
237,259,2,406,9,0,3,1,2,0,1,0,0,2,4,1,7,2,699,0,5,704,0
238,90,2,412,8,0,2,0,1,0,0,0,1,1,6,2,9,12,546,0,5,551,0
239,213,1,376,7,1,0,0,1,0,0,0,1,3,3,1,4,5,616,0,8,624,0
240,44,2,300,1,0,0,0,2,0,0,0,1,3,4,2,8,3,370,0,3,373,0
241,296,9,298,8,3,2,1,4,0,0,1,1,1,5,1,20,9,659,0,3,662,0
242,325,6,138,5,87,1,0,62,3,3,2,2,2,2,3,10,8,659,0,11,670,0
243,76,2,173,1,0,0,3,1,1,0,0,2,1,1,1,6,5,273,0,6,279,0
244,208,6,127,1,3,0,0,0,1,0,0,0,2,3,2,14,10,377,0,3,380,0
245,197,3,179,4,1,0,0,1,0,1,2,1,2,6,0,12,6,415,0,4,419,0
246,145,8,322,4,0,2,3,1,3,0,0,1,2,11,1,16,8,527,0,1,528,0
247,99,4,441,6,0,0,0,1,1,0,0,1,1,5,3,4,5,571,0,1,572,0
248,18,4,529,3,0,1,0,0,0,0,1,0,0,0,1,1,2,560,0,1,561,0
249,331,9,255,5,2,2,1,0,0,0,0,0,3,6,2,5,16,637,0,4,641,0
250,30,4,342,2,0,0,0,0,0,0,0,0,0,5,0,4,4,391,0,1,392,0
251,51,4,412,12,0,0,0,0,1,0,0,2,3,9,2,4,2,502,0,5,507,0
252,33,14,328,5,3,2,3,1,4,4,2,2,0,4,5,10,5,425,0,2,427,0
253,32,1,337,6,1,0,0,1,0,1,1,0,1,3,4,3,3,394,0,6,400,0
254,234,5,233,4,2,0,2,1,3,0,0,0,2,2,4,8,10,510,0,7,517,0
255,23,2,414,2,1,0,0,1,0,0,0,0,0,3,0,1,4,451,0,2,453,0
256,35,7,689,10,2,0,0,1,1,0,0,0,2,1,1,1,6,756,0,6,762,0
257,211,4,232,5,0,0,1,1,1,1,0,1,2,4,1,4,11,479,0,8,487,0
258,20,4,392,9,3,3,2,1,4,1,0,1,3,10,5,18,36,512,0,34,546,0
259,87,2,485,8,0,0,0,0,0,0,0,1,0,0,0,3,3,589,0,2,591,0
260,159,12,411,11,6,1,1,1,3,2,2,5,1,7,3,5,8,638,0,11,649,0
261,216,1,356,34,1,1,0,0,0,0,1,0,1,6,4,6,7,634,0,3,637,0
262,159,2,120,8,2,0,0,1,1,1,1,0,0,1,1,7,2,306,0,4,310,0
263,72,4,277,2,0,0,3,1,0,1,2,0,0,1,1,1,1,366,0,5,371,0
