Sl. No.of Polling Station,,,,,,,,,,,,,,,,,,,"""None of the Above"" (NOTA)",valid,No of Rejected Votes,Total,No. of Test Votes (VVPAT),No. Tendered Votes
271,44,577,2,0,0,0,0,20,1,0,1,0,0,1,1,8,5,4,6,670,0,670,0,0
272,38,578,3,0,1,1,0,18,0,0,0,0,0,0,0,1,0,3,2,645,0,645,0,0
273,24,536,2,1,0,1,0,14,0,0,0,0,0,0,1,0,1,0,3,583,0,583,0,0
274,10,329,0,0,0,0,0,28,0,0,0,0,0,0,0,2,0,1,7,377,0,377,0,0
275,18,544,4,0,0,0,0,67,0,0,0,0,1,1,0,1,0,3,9,648,0,648,0,0
276,27,648,3,1,0,0,0,48,0,0,0,0,0,0,0,4,1,0,7,739,0,739,0,0
277,24,584,1,0,0,1,0,63,0,0,0,0,1,0,0,1,0,1,14,690,0,690,0,0
278,61,390,0,0,2,0,1,52,1,0,1,0,0,0,0,1,1,0,7,517,0,517,0,0
279,26,561,3,1,0,0,0,43,1,0,0,0,0,0,0,0,0,0,12,647,0,647,0,0
280,32,442,0,0,0,0,0,11,0,0,0,0,0,1,0,2,0,1,5,494,0,494,0,0
281,18,391,3,2,0,0,0,4,0,0,1,0,0,0,1,2,3,3,0,428,0,428,0,0
282,20,438,1,0,1,0,0,16,0,0,0,0,1,0,0,1,0,3,2,483,0,483,0,0
283,23,427,3,2,1,0,1,18,0,0,0,1,1,1,2,2,0,0,4,486,0,486,0,0
284,16,367,0,0,0,0,0,34,0,0,0,0,0,1,1,3,2,2,6,432,0,432,0,0
285,15,395,3,0,0,0,0,13,1,0,0,0,0,0,0,0,3,0,5,435,0,435,0,0
286,21,474,2,0,1,1,1,28,0,0,0,0,0,0,0,0,0,1,3,532,0,532,0,0
287,34,551,2,0,1,0,0,26,0,0,0,1,0,1,0,2,0,19,5,642,0,642,0,0
288,26,505,4,1,0,0,0,43,0,0,0,0,0,0,0,2,0,1,11,593,0,593,0,0
289,27,632,5,2,0,0,0,32,0,0,0,0,0,0,2,2,1,4,5,712,0,712,0,0
290,30,494,5,2,2,0,2,15,0,0,1,2,0,0,0,6,0,3,4,566,0,566,0,0
291,21,400,3,0,0,0,0,14,0,1,0,0,0,1,1,3,0,0,0,444,0,444,0,0
292,12,282,1,2,0,0,0,12,0,0,2,0,1,0,2,3,0,1,2,320,0,320,0,0
293,22,524,2,0,0,0,0,33,0,0,0,0,0,0,0,1,0,0,5,587,0,587,0,0
294,36,484,0,0,0,2,2,37,0,0,1,0,0,0,1,2,1,2,5,573,0,573,0,0
295,37,668,4,2,0,1,0,32,0,0,0,0,0,1,2,4,3,9,4,767,0,767,0,0
296,29,443,3,0,1,0,0,9,0,0,3,0,0,2,3,9,3,3,3,511,0,511,0,0
297,37,576,2,1,1,0,0,18,1,0,2,0,2,0,0,7,3,4,7,661,0,661,0,0
298,362,162,2,0,0,0,0,3,0,0,0,1,2,4,1,13,4,3,4,561,0,561,0,0
299,255,66,0,0,0,0,1,2,0,0,1,1,0,0,2,14,3,2,2,349,0,349,0,0
300,283,71,1,0,2,1,2,1,0,0,0,0,0,1,2,12,8,1,4,389,0,389,0,0
