polling station,No. of Valid Votes cast in favour of,,,,,,,,,,Total of  Valid Votes,No. of  rejected  votes,NOTA,Total,No.of      tendered  votes
,Katara  Singjibhai  Jaljibhai,Jasvantsinh  Sumanbhai  Bhabhor,Taviyad  Dr.Prabhaben  Kishorsinh,Bamaniya  Jyotishkumar  Bapubhai,Bhabhor  Mavjibhai  Titubhai,K. C.  Muniya  Advocate,Meda  Jagdishbha i Manilal,Ramsingbhai  Nanjibhai  Kalara,Kumari  Induben  Nathubhai  Sangada,Bhura  Navalbhai  Manabhai,,,,,
224,11,167,240,7,2,4,1,1,21,3,457,Nil,3,460,0
,2867,62444,41019,1659,485,872,509,481,912,1422,112670,0,3835,116505,0
,2867,62444,41019,1659,485,872,509,481,912,1422,112670,0,3835,116505,0
225,7,366,163,6,1,2,1,1,1,6,554,Nil,5,559,0
226,18,203,194,7,2,2,1,2,4,6,439,Nil,12,451,0
227,13,665,87,3,1,4,3,1,2,13,792,Nil,16,808,0
228,18,354,102,4,1,1,2,0,0,2,484,Nil,7,491,0
229,5,362,62,1,1,0,0,0,1,3,435,Nil,1,436,0
230,3,545,25,0,0,0,1,0,0,1,575,Nil,1,576,0
231,5,638,31,0,0,0,0,0,0,0,674,Nil,0,674,0
232,14,128,236,11,1,6,4,5,4,16,425,Nil,43,468,0
233,4,347,84,2,0,5,2,0,1,0,445,Nil,0,445,0
234,9,439,54,0,3,29,1,1,1,3,540,Nil,6,546,0
235,13,527,97,4,1,2,0,1,1,1,647,Nil,4,651,0
236,15,183,313,13,6,2,5,4,10,14,565,Nil,39,604,0
237,7,78,202,7,1,3,4,1,1,0,304,Nil,12,316,0
238,10,110,128,9,3,1,3,4,6,10,284,Nil,32,316,0
,3008,67389,42797,1726,506,929,536,501,944,1497,119833,Nil,4013,123846,0
,3008,67389,42797,1726,506,929,536,501,944,1497,119833,Nil,4013,123846,0
239,10,283,83,5,3,1,1,1,3,4,394,Nil,9,403,0
,3018,67672,42880,1731,509,930,537,502,947,1501,120227,Nil,4022,124249,0
,0,0,0,0,0,0,0,0,0,0,0,Nil,0,0,0
,3018,67672,42880,1731,509,930,537,502,947,1501,120227,Nil,4022,124249,0
