polling station,No. of Valid Votes cast in favor of,,,,,,,,,,,,,,,Total of valied votes  tendered,No. of rejected votes (Test  votes),Votes for NOTA option,Total votes
,Chauhan Devusinh Jesingbhai (Chauhan Devusinh),Dinsha Patel,Pandav Bhailalbhai Kalubhai,Abdul Razakkhan Pathan,Badhiwala Labhubhai Jivrajbhai,Ranveer Pranayraj Govindbhai,Khristi Adward Khushalbhai,Chauhan Devusing Motishing,Pathan Amanullakha Sitabkha,Parikh Viral Hasmukhbhai,Malek Yakubmiya Nabhimiya,Malek Sadik Hushen Mahammd Hushen,Malek Sabirhusen Ismaelbhai,Ratansinh Udesinh Chauhan,Roshan Priyavadan  Shah,,,,
133,155,226,3,1,1,0,0,1,1,1,1,0,7,3,2,402,0,9,411
134,140,163,2,0,1,1,0,3,0,1,0,0,0,1,1,313,0,6,319
135,227,129,0,0,0,0,0,1,0,0,0,0,0,1,2,360,0,5,365
136,215,204,2,0,0,0,0,1,0,0,0,0,0,1,5,428,0,15,443
137,370,219,0,0,6,0,1,2,0,0,0,0,1,2,2,603,0,9,612
138,262,184,0,0,4,0,0,1,0,1,1,3,4,4,3,467,0,11,478
139,257,230,3,0,6,2,1,2,0,1,1,1,1,3,4,512,0,19,531
140,66,224,7,2,1,0,1,0,0,0,0,4,8,10,9,332,0,6,338
141,106,247,5,2,2,0,1,1,2,1,0,1,3,5,5,381,0,10,391
142,76,221,0,0,2,1,0,1,0,1,0,0,2,2,5,311,0,4,315
143,116,325,1,0,0,0,1,1,0,1,1,1,1,7,13,468,0,11,479
144,321,233,6,0,0,0,4,2,0,0,0,0,1,2,8,577,0,11,588
145,272,212,3,0,0,0,0,0,1,0,0,0,1,0,1,490,0,8,498
146,324,94,3,1,0,0,2,4,1,0,0,2,2,2,3,438,0,17,455
147,99,415,0,0,1,0,1,0,0,0,0,1,3,0,5,525,0,2,527
148,59,115,1,0,0,0,0,1,0,0,0,0,0,0,1,177,0,1,178
149,135,185,1,0,5,0,1,0,0,0,0,0,2,3,4,336,0,6,342
150,230,207,2,0,0,1,1,1,1,1,1,1,0,1,4,451,0,4,455
151,392,146,3,1,2,0,0,1,1,0,1,1,1,2,1,552,0,11,563
152,178,215,2,0,0,1,3,3,0,0,0,1,3,3,5,414,0,11,425
153,276,139,2,1,2,1,1,2,0,4,0,2,2,5,12,449,0,13,462
154,292,314,1,2,7,1,0,0,0,2,1,1,0,5,13,639,0,21,660
155,102,273,0,0,0,0,4,0,3,1,1,5,7,8,4,408,0,4,412
156,97,194,8,0,0,0,1,1,1,0,2,1,1,1,3,310,0,10,320
157,186,151,5,0,0,1,1,0,0,1,0,2,3,1,6,357,0,4,361
158,296,118,0,0,11,0,0,0,0,0,0,0,1,0,1,427,0,3,430
159,341,478,2,3,1,0,0,0,0,0,0,2,2,1,10,840,0,9,849
160,431,283,3,1,6,0,0,1,0,0,2,0,0,0,3,730,0,6,736
161,292,211,1,1,4,0,1,2,0,2,1,0,1,4,2,522,0,7,529
162,569,201,0,0,7,0,0,0,0,1,1,4,0,3,0,786,0,16,802
163,246,217,4,0,1,0,1,1,1,1,1,2,3,2,3,483,0,15,498
164,381,154,0,0,0,0,0,3,0,0,0,1,0,1,3,543,0,9,552
165,333,208,2,1,0,0,1,3,0,4,1,6,3,5,9,576,0,10,586
166,342,108,2,0,1,0,0,1,0,0,0,1,0,0,1,456,0,2,458
167,403,138,1,0,7,1,0,0,0,0,1,1,0,1,3,556,0,5,561
168,490,107,3,0,9,0,0,3,0,0,0,0,0,0,0,612,0,8,620
169,108,250,4,1,0,2,1,0,0,1,0,1,0,5,10,383,0,10,393
170,67,250,6,0,1,0,1,3,0,0,0,1,1,4,4,338,0,3,341
171,466,183,3,0,2,0,0,0,0,0,1,0,2,1,4,662,0,7,669
172,90,469,3,0,3,0,0,0,1,0,1,0,6,2,3,578,0,5,583
173,43,121,1,0,1,0,0,0,0,0,1,0,0,3,0,170,0,2,172
