polling station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,,,,Total of valid votes,No. of rejected votes (Test Vot,NOTA,Total,No. of tendered votes
,L K Advani,Kiritbhai Ishvarbhai  Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar  Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh  Javansinh,Dipikaben Sutariya,Desai Khodabhai  Laljibhai,Pagi Ganpatbhai  Mavjibhai,Birjusinh Motisinh  Kshatriya,Brahmbhatt  Sanjaybhai ,Amarkumar Raj Prajapati,Rahul Chimanbhai  Mehta,Vaghela Kishorsinh  Mahobatsinh,M. K. Shah,,,,,
107,870,94,1,0,0,0,0,17,1,0,1,0,0,0,0,2,2,2,990,,5,995,
108,777,58,1,0,0,1,0,15,0,0,0,0,0,1,0,2,0,1,856,,5,861,
109,401,44,0,0,0,1,0,13,1,1,0,2,0,0,0,5,7,0,475,,7,482,
110,796,64,1,0,0,0,0,6,1,0,1,0,0,0,2,8,4,0,883,,5,888,
111,643,63,2,1,0,0,1,4,0,0,0,0,1,1,0,5,2,1,724,,5,729,
112,634,62,1,0,0,0,0,6,0,0,0,0,0,0,1,1,11,4,720,,6,726,
113,421,40,1,0,0,0,0,4,0,0,0,0,0,0,0,2,5,0,473,,3,476,
114,413,79,1,0,0,0,0,5,1,0,0,0,0,0,0,1,7,3,510,,5,515,
115,707,114,1,0,3,0,0,11,0,0,0,0,0,1,0,1,1,0,839,,9,848,
116,33,226,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,264,,1,265,
117,231,158,3,0,1,0,0,10,0,0,1,0,0,1,3,10,5,4,427,,5,432,
118,106,123,2,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,238,,1,239,
119,522,337,11,3,2,1,1,8,2,0,2,1,0,0,5,10,1,4,910,,4,914,
120,366,321,34,15,0,2,0,26,1,0,1,0,0,0,0,1,1,0,768,,18,786,
121,344,229,4,1,1,1,1,1,2,1,1,2,1,1,2,14,3,3,612,,7,619,
122,530,177,5,0,0,0,1,2,4,3,1,0,1,1,5,15,7,0,752,,3,755,
123,313,71,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,391,,0,391,
124,475,191,8,0,5,1,0,4,0,0,0,0,1,1,3,16,5,2,712,,11,723,
125,723,42,3,0,0,0,0,6,1,0,0,1,1,1,0,1,0,2,781,,14,795,
126,888,37,0,2,0,0,0,13,0,0,0,0,0,0,0,2,11,0,953,,9,962,
127,548,56,0,1,0,0,0,7,0,0,1,0,0,0,1,1,4,1,620,,12,632,
128,738,126,1,0,1,0,0,6,0,0,2,1,1,0,0,14,6,6,902,,4,906,
129,737,22,0,1,0,0,0,5,0,0,0,0,0,0,0,0,4,0,769,,8,777,
130,728,72,0,1,0,1,0,12,0,0,0,0,0,0,1,4,7,0,826,,11,837,
131,810,40,0,0,0,0,0,15,0,0,0,1,1,1,3,2,3,0,876,,15,891,
132,926,48,0,0,0,0,0,12,0,0,0,0,0,0,1,4,2,0,993,,7,1000,
133,744,47,1,1,2,1,0,9,0,1,0,0,0,0,0,6,3,0,815,,9,824,
134,679,68,1,1,1,0,0,16,0,0,0,0,0,1,0,0,2,8,777,,10,787,
135,464,31,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,501,,7,508,
136,484,18,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,510,,3,513,
137,482,42,0,0,0,0,0,5,0,0,0,0,0,0,0,4,2,0,535,,12,547,
138,164,252,11,4,1,0,1,8,1,0,0,1,1,1,1,4,4,3,457,,4,461,
139,115,115,1,0,0,0,0,12,1,0,0,0,0,0,0,1,1,1,247,,4,251,
140,600,241,35,0,0,0,0,13,0,0,1,1,0,0,1,4,6,2,904,,13,917,
141,655,161,11,2,0,0,0,8,0,0,0,0,1,0,0,2,3,2,845,,8,853,
142,457,22,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,483,,4,487,
143,776,73,2,1,0,0,0,11,0,0,1,1,0,0,1,0,6,2,874,,6,880,
144,913,58,0,1,0,0,1,12,1,0,0,0,1,0,1,3,11,1,1003,,8,1011,
145,515,13,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,1,534,,11,545,
146,847,50,2,0,0,0,0,8,0,0,0,0,0,0,0,1,9,1,918,,4,922,
147,831,26,1,1,0,0,0,5,0,0,1,0,0,0,0,1,2,0,868,,9,877,
148,691,89,4,0,0,0,1,28,0,0,0,0,0,0,0,0,2,1,816,,11,827,
149,310,352,30,9,1,0,1,17,0,0,1,0,1,1,3,5,3,4,738,,17,755,
150,193,362,29,0,0,0,1,28,0,1,0,1,0,0,0,2,0,2,619,,11,630,
151,245,389,80,1,0,0,0,31,0,1,0,0,0,1,0,2,0,1,751,,21,772,
152,755,43,1,1,0,0,0,5,0,0,1,0,0,0,0,0,2,0,808,,8,816,
153,675,41,0,1,0,0,0,16,0,0,0,0,0,0,1,0,2,1,737,,9,746,
154,512,17,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,533,,8,541,
155,613,32,0,0,0,0,0,15,0,0,0,0,0,0,0,1,4,0,665,,1,666,
156,758,48,1,0,0,1,0,11,0,0,0,0,0,0,0,2,2,0,823,,10,833,
157,676,64,1,0,0,0,0,6,0,0,1,0,1,1,0,7,5,0,762,,2,764,
158,398,87,2,0,1,1,1,6,0,2,0,2,0,3,1,3,3,3,513,,4,517,
159,345,89,2,1,0,0,0,4,0,1,0,1,0,1,1,1,4,0,450,,3,453,
160,420,244,6,3,0,0,0,16,0,1,1,3,1,1,3,5,3,2,709,,6,715,
