Polling Station,,,,,,,,,,,,,,,valid,Total of Reject ed Votes (Test Vote),Votes for NOTA Option,No of Tender ed Votes,total
,Jadeja Kandhalbh ai Saramanb hai,Radadiya Vithalbhai Hansrajbhai,Sadiya Vrajlal Pababhai,Irfanshah Habibshah Suhravardi,Mansukh Sundarji Dhokai,Aghera Dhirajlal Bhurabhai,Unadakat Prakash Vallabhada s,Khunti Bharatbhai Maldebhai,Khokhani Lalitaben Mansukhbhai,Joshi Harish Liladhar,Tukadia G.R.,Patel Butani Rajeshbhai Maganbhai,Rathod Chandulal Mohanbhai,Vakil Vinzuda Ranjit Naranbh ai,,,,,
239,170,113,8,3,0,1,3,1,1,0,1,1,4,2,308,0,12,0,320
240,74,435,0,1,3,0,0,1,0,0,1,1,1,1,518,0,2,0,520
241,51,269,2,0,12,0,1,0,0,0,0,0,0,1,336,0,2,0,338
242,97,164,4,0,0,0,1,0,1,1,0,3,3,1,275,0,2,0,277
243,227,84,1,3,3,0,0,1,0,0,0,0,1,0,320,0,12,0,332
244,81,409,7,4,1,1,0,1,0,0,1,2,2,1,510,0,10,0,520
245,116,357,8,4,1,1,1,0,2,1,3,1,3,3,501,0,5,0,506
246,142,346,7,5,3,2,1,1,2,2,0,3,1,1,516,0,8,0,524
247,77,228,1,1,0,2,0,0,2,0,1,2,2,9,325,0,5,0,330
248,112,311,7,1,2,0,2,1,0,0,3,1,2,3,445,0,6,0,451
249,125,125,2,3,5,1,4,1,2,0,0,2,3,1,274,0,2,0,276
250,51,162,3,1,0,0,1,0,1,1,2,2,2,0,226,0,5,0,231
251,16,248,8,3,1,0,0,0,0,0,1,2,0,4,283,0,2,0,285
252,91,125,11,11,1,2,1,3,0,0,0,1,0,3,249,0,6,0,255
253,100,145,2,2,1,2,1,3,0,1,1,1,2,1,262,0,7,0,269
254,44,337,5,0,0,0,1,3,0,0,0,1,2,1,394,0,4,0,398
255,119,156,2,5,3,1,1,0,1,1,1,1,4,2,297,0,6,0,303
256,179,109,9,6,4,1,1,1,2,0,3,1,1,5,322,0,8,0,330
257,110,384,5,3,12,0,1,1,0,0,1,0,4,4,525,0,9,0,534
258,53,179,2,2,3,3,0,1,0,0,3,3,0,2,251,0,1,0,252
259,74,192,5,3,1,2,2,1,2,0,1,0,2,1,286,0,2,0,288
260,33,229,7,3,4,1,1,1,0,2,5,0,4,4,294,0,6,0,300
261,204,219,4,7,1,3,1,1,0,2,0,1,2,4,449,0,12,0,461
262,89,225,2,1,4,2,0,0,1,1,3,2,0,1,331,0,10,0,341
263,35,247,2,1,0,0,2,2,1,0,1,1,1,3,296,0,5,0,301
264,49,372,5,1,3,0,1,0,1,0,1,0,3,1,437,0,5,0,442
265,81,99,3,1,0,1,1,0,0,0,1,1,1,1,190,0,4,0,194
266,115,185,3,2,4,5,0,0,0,0,1,0,0,2,317,0,9,0,326
267,251,222,3,0,0,1,2,1,0,1,0,0,1,3,485,0,5,0,490
268,51,119,3,1,2,3,2,2,1,2,0,0,3,1,190,0,2,0,192
269,42,159,0,4,0,1,2,1,0,0,2,0,1,4,216,0,4,0,220
