Sl. No.of Polling Station,,,,,,,,,,,,,,,,,,,"""None of the Above"" (NOTA)",valid,No of Rejected Votes,Total,No. of Test Votes (VVPAT),No. Tendered Votes,of 11
,L. K. Advani,Kiritbhai Ishvarbhai Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh Javansinh,Dipikaben Sutariya,Desai Khodabhai Laljibhai,Pagi Ganpatbhai Mavjibhai,Birjusinh Motisinh Kshatriya,Brahmbhatt Sanjaybhai Amarkumar,Raj Prajapati,Rahul Chimanbhai Mehta,Vaghela Kishorsinh Mahobatsinh,M. K.Shah,,,,,,,
111,313,133,18,0,0,1,0,1,0,1,0,0,0,1,2,7,20,8,7,513,0,513,0,0,
112,273,70,0,1,0,0,0,3,0,1,0,1,1,0,3,16,3,1,3,376,0,376,0,0,
113,391,60,2,0,1,0,0,3,0,0,0,0,0,0,1,14,7,2,2,483,0,483,0,0,
114,154,213,5,2,0,0,1,2,0,0,2,0,2,4,15,25,7,8,3,442,0,442,0,0,
115,504,330,10,4,4,0,2,5,1,1,0,1,1,4,11,15,18,15,4,930,0,930,0,0,
116,497,44,8,4,0,3,1,0,0,0,0,1,1,1,7,20,11,4,2,604,0,604,0,0,
117,211,190,7,1,0,0,0,2,0,0,1,0,1,3,4,5,8,7,0,441,0,441,0,0,
118,350,58,5,2,1,0,2,2,0,0,1,0,1,0,2,4,12,1,2,444,0,444,0,0,
119,373,138,7,2,0,0,0,2,0,0,3,1,4,3,5,10,7,5,0,558,0,558,0,0,
120,163,140,27,0,1,1,0,0,0,0,2,1,3,1,3,2,4,5,1,352,0,352,0,0,
121,84,128,7,0,1,1,1,0,0,0,0,1,1,1,0,4,3,1,0,234,0,234,0,0,
122,560,131,4,2,0,1,1,0,2,1,3,2,5,5,3,35,9,5,4,770,0,770,0,0,
123,351,124,3,0,0,1,2,1,1,1,1,2,3,3,0,5,1,1,0,497,0,497,0,0,
124,285,167,5,4,0,0,0,3,1,1,0,0,0,1,1,6,3,3,1,481,0,481,0,0,
125,350,142,4,1,4,0,2,4,0,0,1,1,2,1,4,6,7,1,9,537,0,537,0,0,
126,427,206,5,0,0,1,0,2,0,2,0,0,0,1,3,12,7,3,7,681,0,681,0,0,
127,283,12,1,1,0,0,0,0,0,0,0,1,1,0,4,11,4,2,0,319,0,319,0,0,
128,468,105,5,1,1,2,1,7,1,1,1,2,3,3,2,13,18,5,9,646,0,646,0,0,
129,558,130,5,2,0,4,0,4,3,1,3,3,6,4,10,32,23,8,13,807,0,807,0,0,
130,557,61,0,1,1,0,0,1,0,0,0,0,0,2,4,12,14,2,1,659,0,659,0,0,
131,240,20,0,0,0,0,0,0,0,0,0,1,1,1,4,7,5,1,1,280,0,280,0,0,
132,563,83,5,0,0,1,0,1,0,2,0,1,1,0,4,16,5,3,4,690,0,690,0,0,
