Serial No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,Total of valid votes,No. of Rejected votes,Nota,Total,No. of Tendere d votes
,Dilip Patel,Purshottambhai Alias Kanubhai Mathurbhai Chauhan,Solanki Bharatbhai Madhavsinh,Girishbhai Das (Advocate),Padhiyar Vikramsinh (Vakil),Mahida Mahendrasinh Sahebsinh,Ravjibhai S Parmar,Hitendrasinh Mohansinh Parmar,Patel Jayeshbhai Arvindbhai,Patel Dilipbhai Manilal,Patel Naineshkuma r Umedbhai,Parmar Amarsinh Dahyabhai,Rabari Hiteshkumar Laljibhai,Vahora Firojbhai Walimahamad bhai (Kasorwala),Vaghela Bharat P,,,,,
19,137,5,200,3,3,3,0,1,3,1,1,0,3,4,11,375,0,11,386,0
20,259,6,314,6,1,3,4,4,2,2,2,3,5,8,15,634,0,28,662,0
21,484,4,91,2,0,1,5,0,2,0,1,0,0,1,0,591,0,8,599,0
22,341,3,186,3,0,0,4,1,2,2,0,1,3,3,3,552,0,22,574,0
23,144,4,274,3,0,0,3,0,0,0,1,1,1,3,2,436,0,7,443,0
24,28,1,291,1,1,1,1,6,0,2,0,4,3,6,0,345,0,6,351,0
25,115,3,178,3,1,1,1,3,1,0,1,0,0,1,1,309,0,9,318,0
26,667,2,217,8,0,1,1,0,2,0,0,3,2,3,2,908,0,11,919,0
27,638,4,178,2,1,0,6,0,0,4,0,0,0,0,2,835,0,16,851,0
28,452,8,320,7,2,1,1,2,2,1,0,1,4,7,2,810,0,24,834,0
29,622,7,217,0,1,1,1,2,2,0,2,1,2,1,4,863,0,10,873,0
30,682,1,115,1,0,0,5,0,0,0,1,0,1,0,0,806,0,8,814,0
31,671,1,64,0,0,0,1,0,0,0,0,0,1,1,0,739,0,10,749,0
32,732,2,75,1,0,0,0,0,0,1,0,0,0,0,1,812,0,24,836,0
33,630,6,201,3,0,1,0,0,0,0,0,1,2,0,1,845,0,19,864,0
34,378,1,478,2,0,0,0,1,1,0,0,0,1,7,1,870,0,9,879,0
35,220,3,514,4,0,0,0,1,1,1,0,0,0,3,0,747,0,1,748,0
36,241,2,92,1,0,0,0,0,0,1,1,0,0,0,2,340,0,6,346,0
37,654,4,121,0,2,1,1,1,4,0,1,1,2,3,9,804,0,35,839,0
38,382,2,476,2,1,0,0,0,0,1,1,0,1,1,1,868,0,9,877,0
39,376,5,182,3,1,1,1,1,1,1,0,0,0,0,0,572,0,16,588,0
40,505,2,142,1,0,0,0,1,1,1,0,1,0,0,1,655,0,7,662,0
41,424,1,250,0,0,1,2,0,1,1,0,0,0,2,0,682,0,9,691,0
42,447,1,127,0,0,0,1,0,1,0,0,0,0,0,1,578,0,6,584,0
43,801,2,111,1,0,0,1,1,0,1,0,0,0,2,1,921,0,11,932,0
44,245,1,326,2,0,0,1,1,1,0,0,0,1,2,1,581,0,6,587,0
45,96,4,513,3,1,0,0,2,0,0,0,1,0,4,0,624,0,3,627,0
46,248,1,149,1,0,0,1,0,0,0,0,0,0,0,0,400,0,4,404,0
47,719,3,86,1,0,1,0,0,1,0,0,0,0,0,0,811,0,10,821,0
48,809,3,50,0,0,0,0,0,0,0,0,0,2,0,1,865,0,31,896,0
49,328,4,187,0,0,0,1,2,0,0,1,0,1,3,10,537,0,30,567,0
50,208,2,227,0,3,5,1,2,0,0,1,2,2,10,4,467,0,10,477,0
51,83,4,418,4,1,3,2,3,0,1,1,0,0,5,2,527,0,4,531,0
52,294,2,222,2,0,1,1,3,2,0,0,1,1,2,3,534,0,2,536,0
53,187,3,252,6,0,0,0,4,1,1,3,1,5,4,4,471,0,6,477,0
54,359,5,130,2,0,2,0,1,1,0,1,0,0,9,2,512,0,12,524,0
55,258,3,124,0,1,0,1,1,0,1,0,1,0,1,2,393,0,3,396,0
56,228,3,69,1,0,3,12,2,0,1,0,1,1,0,1,322,0,1,323,0
57,295,7,225,0,0,0,1,1,0,0,0,0,2,2,2,535,0,12,547,0
58,142,2,392,4,1,0,2,0,0,0,0,0,1,3,2,549,0,5,554,0
59,364,7,41,0,2,0,0,0,0,0,0,1,0,0,0,415,0,8,423,0
60,433,11,170,2,1,0,0,1,0,0,0,2,1,4,2,627,0,12,639,0
61,296,6,274,0,2,1,0,3,2,0,1,1,6,10,7,609,0,19,628,0
62,126,3,297,2,0,1,1,0,3,1,0,0,2,2,5,443,0,8,451,0
63,342,7,120,2,1,2,0,0,0,0,1,2,2,3,1,483,0,6,489,0
