polling station,NO. OF VALID VOTES CAST IN FAVOUR OF CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,Total Of Valid Votes,No. Of rejected Votes,NOTA,Total,NO. OF Tendered Votes
,AHIR VIKRAMBHAI ARJANBHAI MADAM,POONAMBEN HEMATBHAI MAADAM,SAMA YUSUF,KASAMBHAI,JHALA RAJENDRASINH,SAIYAD ABUBAKAR IBRAHIM,CHANDRAVIJAYSINH TAKHUBHA RANA,DALIT ASHOK NATHABHAI CHAVDA,DALIT JITESH BABUBHAI RATHORE,DHANJIBHAI LALJIBHAI RANEVADIA,DHARAVIYA VALLABHBHAI,NARIYA PRAVINBHAI VALLABHBHAI,PADHIYAR LALJIBHAI KARABHAI,PANDYA CHIRAGBHAI HARIOMBHAI,BATHWAR NANJIBHAI,MAMAD HAJI BOLIM,MEMAN RAFIK ABUBAKAR POPATPUTRA,VAGHER ALI ISHAK PALANI,VAGHER JAVIDBHAI OSMANBHAI NOLE,VANIYA GANGAJIBHAI,SACHADA HABIB ISHABHAI,SUTHAR HANSABEN HARSUKHBHAI GORECHA,SUMARA AMANDBHAI NOORMAMADBHAI SUMARA,SODHA SALIMBHAI NURMAMADBHAI,SANDHI MAMADBHAI HAJIBHAI SAFIA,,,,,
77,44,61,0,0,1,0,1,0,0,1,0,0,0,1,3,2,0,0,0,0,0,0,0,1,0,115,0,1,116,0
78,154,342,8,0,4,0,2,0,1,2,0,2,0,0,0,5,3,5,1,0,0,0,1,0,1,531,0,0,531,0
79,53,306,2,0,1,0,0,1,0,0,1,0,0,0,1,3,1,1,1,0,0,1,1,0,0,373,0,2,375,0
80,459,114,5,0,1,1,0,0,0,0,2,0,7,2,0,11,7,0,0,2,0,1,0,0,0,612,0,5,617,0
81,495,66,5,0,0,0,0,0,0,0,0,0,0,0,2,5,16,1,3,0,0,2,0,0,0,595,0,9,604,0
82,138,174,10,0,3,1,0,0,0,1,1,0,0,1,2,4,2,1,0,0,0,0,0,0,0,338,0,3,341,0
83,257,370,1,0,3,0,0,1,0,0,0,3,0,0,0,5,6,5,0,0,0,0,0,0,0,651,0,5,656,0
84,221,491,4,0,3,0,1,0,0,0,2,1,0,0,0,2,3,3,0,1,0,0,2,1,1,736,0,6,742,0
85,174,427,0,0,4,0,1,0,0,1,2,2,0,1,0,5,4,1,1,1,0,0,1,0,1,626,0,4,630,0
86,332,275,5,1,1,2,0,1,0,0,0,0,2,0,1,7,6,3,1,0,1,0,1,1,0,640,0,5,645,0
87,313,371,3,1,1,1,0,1,0,0,0,1,1,1,2,5,8,7,0,0,1,0,2,0,0,719,0,1,720,0
88,229,300,10,0,4,0,1,2,0,0,0,0,5,1,1,4,1,1,0,0,0,0,0,0,0,559,0,6,565,0
89,195,483,3,2,5,0,1,0,0,0,0,0,0,0,1,7,6,0,3,1,2,1,0,0,0,710,0,6,716,0
90,121,594,2,0,7,1,0,0,0,0,0,0,2,0,0,3,2,6,2,0,0,0,1,0,0,741,0,11,752,0
91,265,404,3,0,3,0,0,0,0,0,0,1,1,0,4,9,4,5,2,0,0,0,0,0,2,703,0,4,707,0
92,165,367,7,0,0,0,1,0,1,0,2,1,0,0,4,12,5,1,1,0,0,0,0,1,0,568,0,1,569,0
93,264,243,15,1,0,0,0,0,1,0,3,5,1,1,4,7,2,4,0,1,0,0,0,0,0,552,0,4,556,0
94,414,137,19,1,1,0,0,0,1,1,1,1,2,0,2,8,5,0,0,1,0,0,0,1,0,595,0,3,598,0
95,218,249,5,2,0,0,0,0,1,1,0,1,1,1,4,10,8,3,0,0,1,0,0,0,2,507,0,4,511,0
96,121,593,2,0,1,1,0,0,0,0,1,4,1,0,4,2,2,3,0,0,1,0,1,0,0,737,0,6,743,0
97,217,258,8,0,1,0,0,0,0,1,0,0,0,1,0,1,3,3,1,3,0,1,0,2,1,501,0,5,506,0
98,306,207,4,0,0,1,0,1,2,0,1,2,0,0,2,5,4,7,1,8,1,0,1,0,0,553,0,2,555,0
99,184,236,1,0,1,0,0,0,0,0,2,0,0,0,0,5,3,3,0,4,0,1,0,1,0,441,0,0,441,0
100,216,466,10,0,3,0,0,0,0,0,0,0,0,0,1,1,3,7,1,0,1,0,1,3,0,713,0,5,718,0
101,191,270,19,1,2,2,1,0,0,0,0,1,1,0,3,5,1,2,0,1,2,0,0,0,2,504,0,4,508,0
102,117,272,4,0,1,0,1,0,0,0,0,0,7,0,1,4,5,4,1,4,0,0,0,0,1,422,0,5,427,0
103,130,225,4,1,0,0,0,0,2,0,0,0,6,1,1,2,1,1,0,1,0,0,0,0,3,378,0,1,379,0
104,182,55,4,1,1,1,2,0,1,0,0,0,0,0,1,3,4,1,0,0,0,0,0,1,2,259,0,2,261,0
105,233,210,22,2,3,0,1,3,0,1,1,2,30,3,2,11,3,2,2,0,0,1,1,0,3,536,0,3,539,0
106,107,146,1,1,2,0,3,0,0,0,1,0,0,0,0,4,1,2,0,1,0,0,0,0,0,269,0,0,269,0
