Number of Valid Votes Cast in Favour of,,,,,,,,,,,,,,,,,,,
Serial No. of Polling Station,Chaudhary Haribhai Parthibhai Patel Joitabhai Kasnabhai Mahant Parsotamgiri Turantgiri Choudhary Adambhai Nasirbhai Sanjaykumar Somnathbhai Raval Gamar Vadhabhai Radhabhai Thakor Bhupataji Ravaji Dabhi Navajibhai Madhabhai Babaji Thakor Mahendrabhai Kesarabhai Bumbadia Madhu Nirupaben Natvarlal Shrimali Ashokbhai Balchndbhai Solanki Dineshkumar Aljibhai Solanki Saybabhai Nanabhai,,,,,,,,,,,,,,Total of valid votes,No. of Rejected Votes,NOTA,Total,Total No. of tendered votes
223,26,255,6,2,0,36,0,1,0,2,2,3,4,8,345,0,9,354,0
224,55,366,8,1,0,0,0,27,0,4,0,1,5,4,471,0,10,481,0
225,84,236,7,0,0,2,1,10,1,1,0,3,2,4,351,0,12,363,0
226,12,156,2,0,0,0,0,2,0,1,0,0,3,2,178,0,2,180,0
227,68,556,9,4,2,5,1,1,2,8,1,1,6,11,675,0,13,688,0
228,142,460,10,2,2,5,1,3,1,1,1,4,7,9,648,0,16,664,0
229,124,470,20,3,5,0,1,3,5,3,0,2,15,10,661,0,33,694,0
230,40,510,16,2,0,1,4,3,2,4,1,1,2,5,591,0,10,601,0
231,464,206,3,1,1,1,1,1,1,3,0,2,3,13,700,0,16,716,0
232,131,172,2,1,0,0,0,5,1,1,2,0,8,5,328,0,22,350,0
233,50,430,11,0,0,0,0,1,0,0,1,1,5,6,505,0,9,514,0
234,110,430,15,1,1,1,2,1,0,5,5,6,10,26,613,0,7,620,0
235,60,512,13,2,7,2,2,3,2,3,4,0,6,11,627,0,24,651,0
236,393,93,8,3,2,0,0,3,2,1,2,4,8,10,529,0,21,550,0
237,78,310,10,2,13,1,0,0,2,1,2,3,12,6,440,0,25,465,0
238,61,286,4,0,0,1,0,1,0,2,0,3,3,3,364,0,8,372,0
239,251,348,4,1,1,0,0,1,1,4,2,1,7,12,633,0,24,657,0
240,73,560,5,2,1,0,0,0,1,0,0,2,5,9,658,0,6,664,0
241,27,306,3,0,1,0,1,0,0,2,0,0,2,4,346,0,2,348,0
242,143,305,10,0,0,0,0,0,0,0,1,1,3,7,470,0,3,473,0
243,262,418,6,0,0,1,0,0,3,3,1,0,1,5,700,0,18,718,0
244,400,95,4,0,0,0,2,2,0,2,3,4,5,5,522,0,29,551,0
245,92,637,11,0,2,1,1,1,1,0,0,0,2,10,758,0,9,767,0
246,179,638,4,1,3,0,0,1,2,2,1,3,5,8,847,0,16,863,0
247,176,290,4,2,2,0,1,2,1,3,2,3,11,5,502,0,11,513,0
248,338,85,3,3,0,0,0,0,0,0,3,1,4,5,442,0,7,449,0
249,252,109,4,0,0,0,0,1,1,3,1,3,4,11,389,0,12,401,0
250,245,119,4,0,0,1,0,0,1,1,1,0,3,6,381,0,12,393,0
251,136,152,7,1,2,0,0,1,1,0,1,0,1,3,305,0,6,311,0
252,142,130,5,3,0,1,0,0,0,1,2,1,8,3,296,0,4,300,0
253,205,226,5,2,0,0,0,1,0,1,2,2,5,6,455,0,14,469,0
254,38,465,11,3,1,0,1,3,1,3,0,1,6,3,536,0,14,550,0
255,341,275,6,3,0,1,0,1,0,0,0,4,7,6,644,0,32,676,0
256,390,105,4,1,1,0,0,1,0,4,1,5,4,7,523,0,19,542,0
257,512,76,5,0,0,0,1,3,0,2,3,2,4,6,614,0,22,636,0
258,120,49,0,0,0,2,1,0,0,0,0,1,0,3,176,0,2,178,0
259,206,39,3,1,1,0,1,0,0,1,0,0,1,0,253,0,10,263,0
260,560,87,3,0,2,0,0,2,0,3,0,1,4,4,666,0,18,684,0
261,192,160,3,0,1,0,1,2,4,0,2,0,4,0,369,0,5,374,0
262,188,133,4,1,0,1,3,0,3,3,1,3,0,2,342,0,7,349,0
263,165,356,25,0,2,0,1,1,2,2,1,2,10,23,590,0,23,613,0
264,296,523,6,1,2,0,0,1,1,0,1,0,6,9,846,0,3,849,0
265,399,54,4,1,1,0,1,0,2,2,2,1,7,0,474,0,9,483,0
Total No.of Votes recorded at Polling Stations.,48969,68405,2183,355,715,173,207,382,273,637,407,554,1288,1867,126415,0,3770,130185,0
No.of votes recorded on postal ballot papers.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Total votes polled,48969,68405,2183,355,715,173,207,382,273,637,407,554,1288,1867,126415,0,3770,130185,0
