No. of Polling Station,,,,,,,,,,,,,,,,,valid,No. of Rejected votes (test votes),Votes for 'NOTA' option,Total,No. of Tendered Votes
,"Chauhan Devusinh Jesingbhai (BJP) Dinsha Patel (INC) Pandav Bhailalbhai Kalubhai (BSP) Abdul Razakkhan Pathan (Apna Desh Party) Badhiwala Labhubhai Jivarajbhai (AAP) Ranveer Pranayraj Govindbhai (Bahujan Mukti  Party) Khristi Adward (Independent) Chauhan Devusing Motishing (Indepen.)  Pathan Amanullakha Sitabkha (Independent) Parikh Viral Hasmukhbhai (Independent) Malek Yakubmiya Nabimiya (Independent) Malek Sadik Hushen Mahammd Husen  (Independent) Malek Sabirhusen Ismealbhai (Independent) Ratansinh Udesinh Chauhan (Independent) Roshan Priyavadan Shah (Independent) ""None of the Above""(NOTA)",,,,,,,,,,,,,,,,,,,,
195,467,269,10,2,2,1,1,1,1,0,3,1,4,3,6,21,792,0,21,792,0
196,370,203,2,1,3,3,1,0,0,1,0,2,2,1,2,3,594,0,3,594,0
197,539,42,1,0,2,2,1,1,0,2,0,0,0,3,2,18,613,0,18,613,0
198,126,330,8,1,1,51,0,1,0,1,5,2,5,2,2,7,542,0,7,542,0
199,294,233,3,0,2,42,1,1,2,0,1,2,2,3,3,13,602,0,13,602,0
200,389,95,4,0,1,1,1,1,2,1,0,0,1,0,3,27,526,0,27,526,0
201,170,431,1,2,0,1,1,0,0,0,0,0,1,0,5,5,617,0,5,617,0
202,62,535,7,3,11,2,0,0,0,0,2,1,2,2,3,10,640,0,10,640,0
203,111,413,6,0,1,2,1,0,0,0,1,0,0,3,5,4,547,0,4,547,0
204,500,167,19,1,0,2,1,1,1,1,2,3,2,4,11,18,733,0,18,733,0
205,412,285,27,0,1,0,1,0,0,0,0,2,3,0,4,17,752,0,17,752,0
206,397,148,4,1,1,2,1,0,2,3,0,3,4,3,2,13,584,0,13,584,0
207,338,185,4,0,0,2,2,1,1,0,4,2,1,5,2,12,559,0,12,559,0
208,323,177,5,1,0,1,0,0,0,0,1,1,0,2,2,8,521,0,8,521,0
209,514,98,0,1,2,1,1,2,0,0,2,1,5,0,2,15,644,0,15,644,0
210,330,282,9,0,1,1,1,1,2,1,0,2,2,3,7,12,654,0,12,654,0
211,382,98,1,1,0,0,0,0,1,1,0,2,2,1,2,10,501,0,10,501,0
212,318,123,3,0,0,1,1,1,0,0,0,0,0,0,3,6,456,0,6,456,0
213,301,39,3,0,0,2,3,2,0,0,0,0,2,0,1,3,356,0,3,356,0
214,164,245,8,3,2,51,2,1,1,1,1,1,1,3,9,5,498,0,5,498,0
215,304,224,3,0,2,2,2,3,0,0,3,0,3,0,2,16,564,0,16,564,0
216,253,86,2,3,2,0,1,0,2,0,0,3,6,4,3,16,381,0,16,381,0
217,300,117,5,0,4,0,0,0,1,2,0,1,3,3,1,14,451,0,14,451,0
218,169,265,5,4,1,1,1,0,2,0,1,2,2,1,3,6,463,0,6,463,0
219,286,219,7,1,4,1,0,2,3,1,2,2,3,7,8,13,559,0,13,559,0
220,267,227,3,1,3,1,1,4,0,0,0,0,2,5,5,10,529,0,10,529,0
221,478,71,3,0,1,0,1,2,2,0,2,2,0,3,6,21,592,0,21,592,0
222,183,235,2,1,6,1,1,1,2,0,1,4,2,4,1,14,458,0,14,458,0
223,244,171,7,2,2,1,0,3,0,2,0,2,2,2,6,13,457,0,13,457,0
224,384,233,5,0,8,3,3,2,1,0,1,2,3,2,3,14,664,0,14,664,0
225,393,123,1,3,10,1,0,3,2,5,3,4,5,4,3,14,574,0,14,574,0
226,434,144,2,1,5,2,1,3,1,1,5,4,6,7,7,17,640,0,17,640,0
227,128,84,2,0,3,2,0,0,0,0,1,1,2,2,2,1,228,0,1,228,0
228,197,364,6,1,9,1,0,0,4,0,2,1,3,3,6,10,607,0,10,607,0
229,291,168,2,4,0,2,0,3,2,1,2,1,1,3,3,9,492,0,9,492,0
