polling station,,,,,,,,,,,,,,,,,,,,,,,,
,L. K. Advani,Kiritbhai Ishvarbhai Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh Javansinh,Dipikaben Sutariya,Desai Khodabhai Laljibhai,Pagi Ganpatbhai Mavjibhai,Birjusinh Motisinh Kshatriya,Brahmbhatt Sanjaybhai Amarkumar,Raj Prajapati,Rahul Chimanbhai Mehta,Vaghela Kishorsinh Mahobatsinh,M. K.Shah,"""None of the Above"" (NOTA)",valid,No of Rejected Votes,Total,No. of Test Votes (VVPA,No. Tendered Votes
111,415,379,5,0,0,1,10,24,1,1,0,0,0,3,1,1,1,0,9,851,0,851,0,0
112,587,231,3,11,0,0,1,34,1,0,1,0,1,0,0,3,1,2,19,894,0,894,0,0
113,156,239,1,0,0,0,3,10,0,0,0,0,0,1,0,2,2,0,7,421,0,421,0,0
114,420,139,3,0,1,0,1,18,1,0,0,1,1,2,1,1,4,0,9,602,0,602,0,0
115,375,263,1,0,0,0,3,31,0,0,0,0,0,3,0,1,7,3,12,699,0,699,0,0
116,533,275,5,1,1,0,1,49,0,0,0,0,0,0,2,3,1,1,20,893,0,893,0,0
117,384,182,2,0,0,0,0,21,0,0,0,0,0,0,0,1,1,0,10,601,0,601,0,0
118,483,92,4,0,0,0,1,14,1,0,0,1,1,0,1,2,6,1,8,614,0,614,0,0
119,126,225,4,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0
120,433,252,2,2,0,0,0,36,0,0,0,0,0,0,1,2,2,1,20,751,0,751,0,0
121,419,362,9,0,0,0,3,44,0,0,1,0,1,0,0,2,1,1,20,862,0,862,0,0
122,466,293,2,0,0,0,2,30,1,2,0,0,0,0,1,2,3,3,27,832,0,832,0,0
123,476,314,8,0,1,0,1,31,0,1,0,0,0,0,0,2,1,0,24,860,0,860,0,0
124,569,175,1,1,0,0,0,42,0,0,0,0,0,0,0,4,3,1,19,816,0,816,0,0
125,101,202,2,0,0,0,1,11,0,0,0,0,0,0,0,0,0,3,6,326,0,326,0,0
126,350,208,1,0,0,0,0,34,1,0,0,0,0,0,0,0,0,1,18,613,0,613,0,0
127,390,212,0,0,0,0,0,41,0,0,0,0,0,0,0,3,0,3,16,665,0,665,0,0
128,499,213,6,0,1,1,0,42,1,0,0,1,1,2,1,7,2,2,40,818,0,818,0,0
129,38,37,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,3,84,0,84,0,0
