Sr.No of Polling Station,No.of Valid Votes Cast Favour of,,,,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Voted,,Total,No.Tendred Votes
,KOLIPATEL SOMABHAI GANDABHAI,PARMAR MINAXIBEN VIJAYBHAI,FATEPARA DEVJIBHAI GOVINDBHAI,PATEL JETHABHAI MANJIBHAI,BAR AJAMALBHAI KARMANBHAI,MAJETHIYA SAMARATBHAI JERAMBHAI,CHAVADA PALABHAI NANJIBHAI,PARMAR PARBHUBHAI GOKABHAI,PARMARVASHARAMBHAI BAVALBHAI,MAKWANA UKABHAI AMRATBHAI,MAKWANA VASHARAMBHAI KARSHANBHAI,ZALA MANSINH SHIVUBHA ,VADALIYA KALUBHAI MALUBHAI,VAGEHLA PRAKASHBHAI BACHUBHAI,VORA BHAVABHAI DEVABHAI,SAPARA VIPULBHAI RAMESHBHAI,SANKALIYA GANGARAMBHAI TAPUBHAI ,,,NOTA,,
211,67,2,143,5,1,0,1,0,0,1,1,1,4,7,0,3,5,241,,2,243,
212,22,2,166,2,1,0,0,0,2,0,0,0,1,0,0,4,1,201,,3,204,
213,124,2,229,4,0,1,0,0,0,0,0,0,1,10,0,8,0,379,,5,384,
214,145,4,249,5,0,0,0,2,4,0,0,0,0,8,1,7,0,425,,2,427,
215,137,1,560,8,3,1,0,1,0,0,1,1,0,11,2,4,2,732,,5,737,
216,150,0,413,8,1,0,1,1,0,2,1,1,3,14,2,5,3,605,,4,609,
217,100,2,312,5,1,1,0,1,3,0,0,0,1,4,3,13,2,448,,4,452,
218,7,2,201,5,1,0,0,0,1,0,1,0,0,1,0,3,2,224,,6,230,
219,251,6,210,14,7,0,0,4,0,1,0,5,2,15,1,19,9,544,,11,555,
220,359,14,246,4,2,0,1,1,1,0,1,3,2,4,3,6,20,667,,6,673,
221,201,8,357,9,2,0,0,2,1,0,0,0,3,3,2,9,3,600,,3,603,
222,57,5,319,4,3,0,0,0,2,0,0,0,1,4,5,2,6,408,,6,414,
223,49,7,213,0,0,0,0,2,1,0,0,0,1,2,0,1,2,278,,0,278,
224,171,5,287,6,1,0,2,1,2,2,1,1,2,7,1,12,7,508,,6,514,
225,55,7,277,13,1,1,1,2,1,0,0,0,0,1,1,2,2,364,,5,369,
226,158,12,324,8,4,3,3,5,2,0,4,2,2,12,9,14,8,570,,9,579,
227,66,12,538,11,6,1,1,6,2,2,2,0,4,11,4,22,5,693,,14,707,
228,114,9,368,20,1,2,2,1,1,2,1,2,3,8,6,19,11,570,,10,580,
229,103,4,290,4,1,0,0,0,0,1,0,0,2,8,5,7,3,428,,2,430,
