Sr. No. & Name of Polling Station,No. of Valid Votes cast in favour of,,,,,,,,,,,,,,,,Total  Valid  Votes tendered,No. of Rejected  Votes(Test Votes),Total,No. of Tendered Votes
,Chauhan devusinh  Jesingbhai (Chauhan  Devusinh),Dinsha Patel,Pandav Bhailalbhai  Kalubhai,Abdul Razakkhan  Pathan,Badhiwala Labhubhai Jivrajbhai,Ranveer Pranayraj  Govindbhai,Khristi Adward  Khushalbhai,Chauhan Devusing  Motishing,Pathan Amanullakha  Sitabkha,Parikh Viral  Hasmukhbhai,Malek  Yakubmiya  Nabimiya,Malek Sadik Husen  Mahammd Hushen,Malek Sabirhusen  Ismailbhai,Ratansinh Udesinh  Chauhan,Roshan Priyavadan  Shah,None Of the above  (NOTA),,,,
165,189,180,5,1,0,0,0,1,1,0,2,1,4,4,5,10,403,0,403,0
166,193,217,2,2,3,0,0,1,0,0,1,0,1,1,1,10,432,0,432,0
167,235,218,0,0,1,0,1,4,1,0,0,0,3,7,6,25,501,0,501,0
168,264,226,5,1,1,1,0,2,0,1,1,1,4,3,7,10,527,0,527,0
169,253,83,1,1,1,0,1,1,0,1,0,2,1,7,2,13,367,0,367,0
170,174,159,3,1,0,2,1,1,1,0,1,0,5,2,1,13,364,0,364,0
171,178,29,1,0,0,2,1,0,1,0,1,0,0,0,5,23,241,0,241,0
172,233,179,4,1,1,0,1,0,0,0,0,1,1,4,2,10,437,0,437,0
173,180,191,2,1,1,0,0,0,0,0,0,2,2,2,0,5,386,0,386,0
174,152,187,1,0,2,0,0,1,1,0,1,4,3,3,9,3,367,0,367,0
175,140,305,2,1,1,0,1,0,1,0,0,2,5,8,6,13,485,0,485,0
176,276,141,1,0,0,2,0,1,0,0,0,0,1,0,2,6,430,0,430,0
177,239,154,5,1,0,0,0,0,0,1,1,0,2,0,8,12,423,0,423,0
178,227,99,3,1,3,0,0,0,0,0,1,1,1,1,3,9,349,0,349,0
179,585,106,6,1,2,0,0,0,2,0,0,2,4,1,2,20,731,0,731,0
180,251,374,7,1,0,0,1,2,1,0,1,4,9,9,18,30,708,0,708,0
181,175,83,1,0,0,0,0,0,0,0,0,0,0,3,2,6,270,0,270,0
182,359,205,4,0,0,1,0,1,0,0,0,0,1,0,1,17,589,0,589,0
183,606,71,1,0,0,0,0,1,0,1,0,0,1,1,2,13,697,0,697,0
184,325,81,0,0,0,0,0,1,0,0,0,0,0,0,2,6,415,0,415,0
185,222,82,0,0,0,0,0,3,0,0,0,1,0,1,1,1,311,0,311,0
186,475,85,4,1,0,0,0,2,0,0,2,1,1,2,6,18,597,0,597,0
187,246,64,2,0,0,0,0,1,0,0,0,0,0,0,1,10,324,0,324,0
188,390,135,1,0,0,0,0,3,0,0,0,1,1,0,2,15,548,0,548,0
189,170,37,2,0,2,0,0,1,0,1,1,1,2,2,0,12,231,0,231,0
190,270,200,4,0,2,0,0,1,1,0,0,0,1,2,2,8,491,0,491,0
191,380,185,4,2,0,0,2,2,2,0,1,7,10,3,4,8,610,0,610,0
192,122,314,0,1,0,0,0,0,0,0,1,0,1,1,1,6,447,0,447,0
193,121,174,3,0,0,0,0,0,3,0,0,1,0,6,5,14,327,0,327,0
194,473,34,1,0,0,0,0,0,0,0,0,0,0,0,2,6,516,0,516,0
195,12,285,1,0,0,0,1,0,0,0,0,1,0,1,4,2,307,0,307,0
196,135,141,1,1,1,0,0,1,0,0,0,0,3,2,6,3,294,0,294,0
197,138,63,1,0,0,0,0,0,0,1,0,0,1,2,4,9,219,0,219,0
198,377,38,3,2,0,3,0,7,0,0,0,0,2,2,3,11,448,0,448,0
199,433,40,2,0,0,1,0,2,0,0,0,0,3,0,1,10,492,0,492,0
200,461,57,0,0,0,0,1,6,0,0,0,1,1,1,0,13,541,0,541,0
201,190,214,1,0,3,1,0,2,0,0,0,0,3,3,3,4,424,0,424,0
202,92,183,1,0,0,0,0,0,0,1,0,0,1,0,5,3,286,0,286,0
203,183,225,1,0,1,1,1,0,0,0,0,0,1,1,1,10,425,0,425,0
204,70,174,1,1,0,0,1,1,0,1,0,1,0,0,0,5,255,0,255,0
205,48,129,1,0,1,0,0,0,0,0,0,0,0,0,1,3,183,0,183,0
206,91,233,6,0,0,0,0,0,0,0,0,0,3,0,0,5,338,0,338,0
207,70,205,2,1,3,0,1,0,0,1,0,0,1,1,2,6,293,0,293,0
